player_id,player_name,player_url,team_code,season,number,pos,height,weight,birth_date,experience,college
gustame01w,Megan Gustafson,https://www.basketball-reference.com/wnba/players/g/gustame01w.html,LVA,2025,17,C,6-4,208,"December 13, 1996",6,Iowa
holmejo02w,Joyner Holmes,https://www.basketball-reference.com/wnba/players/h/holmejo02w.html,LVA,2025,8,F,6-3,210,"February 22, 1998",5,Texas
kitleel01w,Elizabeth Kitley,https://www.basketball-reference.com/wnba/players/k/kitleel01w.html,LVA,2025,33,C,6-6,195,"September 17, 2001",R,Virginia Tech
loydje01w,Jewell Loyd,https://www.basketball-reference.com/wnba/players/l/loydje01w.html,LVA,2025,24,G,5-11,175,"October 5, 1993",10,Notre Dame
mitchti01w,Tiffany Mitchell,https://www.basketball-reference.com/wnba/players/m/mitchti01w.html,LVA,2025,3,G,5-9,169,"September 23, 1994",9,South Carolina
nyeaa01w,Aaliyah Nye,https://www.basketball-reference.com/wnba/players/n/nyeaa01w.html,LVA,2025,13,G-F,6-0,,"August 14, 2002",R,"Illinois, Alabama"
parkech01w,Cheyenne Parker-Tyus,https://www.basketball-reference.com/wnba/players/p/parkech01w.html,LVA,2025,32,F,6-4,193,"August 22, 1992",10,Middle Tennessee
smithna01w,NaLyssa Smith,https://www.basketball-reference.com/wnba/players/s/smithna01w.html,LVA,2025,3,F,6-4,185,"August 8, 2000",3,Baylor
stokeki01w,Kiah Stokes,https://www.basketball-reference.com/wnba/players/s/stokeki01w.html,LVA,2025,41,C,6-3,191,"March 30, 1993",9,UConn
wilsoa01w,A'ja Wilson,https://www.basketball-reference.com/wnba/players/w/wilsoa01w.html,LVA,2025,22,C,6-4,195,"August 8, 1996",7,South Carolina
youngja01w,Jackie Young,https://www.basketball-reference.com/wnba/players/y/youngja01w.html,LVA,2025,0,G,6-0,165,"September 16, 1997",6,Notre Dame
anderyv01w,Yvonne Anderson,https://www.basketball-reference.com/wnba/players/a/anderyv01w.html,MIN,2025,12,G,5-7,148,"March 8, 1990",1,
