Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,Starting
PG/SG,Marina Mabrey (43601963),Marina Mabrey,43601963,G/UTIL,10500,WAS@TOR 07/14/2026 07:00PM ET,TOR,34.4,,
SF/PF,Brittney Griner (43601965),Brittney Griner,43601965,F/UTIL,10400,PDX@CON 07/14/2026 11:00AM ET,CON,28.2,,Starter
SF/PF,Shakira Austin (43601967),Shakira Austin,43601967,F/UTIL,10200,WAS@TOR 07/14/2026 07:00PM ET,WAS,32.8,,
PG/SG,Sonia Citron (43601969),Sonia Citron,43601969,G/UTIL,10000,WAS@TOR 07/14/2026 07:00PM ET,WAS,32.3,,
SF/PF,Kiki Iriafen (43601971),Kiki Iriafen,43601971,F/UTIL,9900,WAS@TOR 07/14/2026 07:00PM ET,WAS,31.9,,
PG/SG,Brittney Sykes (43601973),Brittney Sykes,43601973,G/UTIL,9600,WAS@TOR 07/14/2026 07:00PM ET,TOR,33,OUT,
SF/PF,Isabelle Harrison (43601975),Isabelle Harrison,43601975,F/UTIL,9400,WAS@TOR 07/14/2026 07:00PM ET,TOR,27.4,,
PG/SG,Leila Lacan (43601977),Leila Lacan,43601977,G/UTIL,9100,PDX@CON 07/14/2026 11:00AM ET,CON,25.6,,Starter
SF/PF,Olivia Nelson-Ododa (43601979),Olivia Nelson-Ododa,43601979,F/UTIL,9000,PDX@CON 07/14/2026 11:00AM ET,CON,21.7,,Starter
SF/PF,Emily Engstler (43601981),Emily Engstler,43601981,F/UTIL,8600,PDX@CON 07/14/2026 11:00AM ET,PDX,24.7,,Starter
PG/SG,Carla Leite (43601983),Carla Leite,43601983,G/UTIL,8400,PDX@CON 07/14/2026 11:00AM ET,PDX,27,,Starter
SF/PF,Bridget Carleton (43601985),Bridget Carleton,43601985,F/UTIL,8300,PDX@CON 07/14/2026 11:00AM ET,PDX,25.9,,Starter
SF/PF,Maria Conde (43601987),Maria Conde,43601987,F/UTIL,8200,WAS@TOR 07/14/2026 07:00PM ET,TOR,19,,
PG/SG,Julie Allemand (43601989),Julie Allemand,43601989,G/UTIL,8000,WAS@TOR 07/14/2026 07:00PM ET,TOR,22.4,,
SF/PF,Megan Gustafson (43601991),Megan Gustafson,43601991,F/UTIL,7900,PDX@CON 07/14/2026 11:00AM ET,PDX,20.7,,Starter
SF/PF,Nyara Sabally (43601993),Nyara Sabally,43601993,F/UTIL,7600,WAS@TOR 07/14/2026 07:00PM ET,TOR,24,,
PG/SG,Kiki Rice (43601995),Kiki Rice,43601995,G/UTIL,7400,WAS@TOR 07/14/2026 07:00PM ET,TOR,24.5,OUT,
SF/PF,Laura Juskaite (43601997),Laura Juskaite,43601997,F/UTIL,7300,WAS@TOR 07/14/2026 07:00PM ET,TOR,20,,
PG/SG,Charlisse Leger-Walker (43601999),Charlisse Leger-Walker,43601999,G/UTIL,7200,PDX@CON 07/14/2026 11:00AM ET,CON,15.9,,Starter
PG/SG,Sarah Ashlee Barker (43602001),Sarah Ashlee Barker,43602001,G/UTIL,7000,PDX@CON 07/14/2026 11:00AM ET,PDX,22,,Starter
PG/SG,Kennedy Burke (43602003),Kennedy Burke,43602003,G/UTIL,6600,PDX@CON 07/14/2026 11:00AM ET,CON,17.8,,
SF/PF,Aneesah Morrow (43602005),Aneesah Morrow,43602005,F/UTIL,6200,PDX@CON 07/14/2026 11:00AM ET,CON,27.3,OUT,
SF/PF,Aaliyah Edwards (43602007),Aaliyah Edwards,43602007,F/UTIL,6100,PDX@CON 07/14/2026 11:00AM ET,CON,16.5,,
SF/PF,Michaela Onyenwere (43602009),Michaela Onyenwere,43602009,F/UTIL,5900,WAS@TOR 07/14/2026 07:00PM ET,WAS,16.6,,
SF/PF,Diamond Miller (43602011),Diamond Miller,43602011,F/UTIL,5800,PDX@CON 07/14/2026 11:00AM ET,CON,15.1,,Starter
PG/SG,Alicia Florez (43602013),Alicia Florez,43602013,G/UTIL,5700,WAS@TOR 07/14/2026 07:00PM ET,WAS,14.9,,
SF/PF,Cotie McMahon (43602015),Cotie McMahon,43602015,F/UTIL,5600,WAS@TOR 07/14/2026 07:00PM ET,WAS,13.9,,
PG/SG,Saniya Rivers (43602017),Saniya Rivers,43602017,G/UTIL,5500,PDX@CON 07/14/2026 11:00AM ET,CON,17.1,OUT,
SF/PF,Temi Fagbenle (43602019),Temi Fagbenle,43602019,F/UTIL,5400,WAS@TOR 07/14/2026 07:00PM ET,TOR,15.5,Q,
PG/SG,Georgia Amoore (43602021),Georgia Amoore,43602021,G/UTIL,5300,WAS@TOR 07/14/2026 07:00PM ET,WAS,13.3,,
PG/SG,Teja Oblak (43602023),Teja Oblak,43602023,G/UTIL,5200,PDX@CON 07/14/2026 11:00AM ET,PDX,13.8,,
SF/PF,Lauren Betts (43602025),Lauren Betts,43602025,F/UTIL,5100,WAS@TOR 07/14/2026 07:00PM ET,WAS,13.8,,
SF/PF,Frieda Buhner (43602027),Frieda Buhner,43602027,F/UTIL,4900,PDX@CON 07/14/2026 11:00AM ET,PDX,9.7,,
SF/PF,Kayla Alexander (43602029),Kayla Alexander,43602029,F/UTIL,4700,WAS@TOR 07/14/2026 07:00PM ET,TOR,3,,
PG/SG,Kia Nurse (43602031),Kia Nurse,43602031,G/UTIL,4400,WAS@TOR 07/14/2026 07:00PM ET,TOR,7.8,,
SF/PF,Serah Williams (43602033),Serah Williams,43602033,F/UTIL,4200,PDX@CON 07/14/2026 11:00AM ET,PDX,8.4,,
SF/PF,Nyadiew Puoch (43602035),Nyadiew Puoch,43602035,F/UTIL,4000,PDX@CON 07/14/2026 11:00AM ET,PDX,8.3,,
SF/PF,Nell Angloma (43602039),Nell Angloma,43602039,F/UTIL,3900,PDX@CON 07/14/2026 11:00AM ET,CON,8,,
PG/SG,Karlie Samuelson (43602037),Karlie Samuelson,43602037,G/UTIL,3800,PDX@CON 07/14/2026 11:00AM ET,PDX,7.5,,
PG/SG,Tima Pouye (43602041),Tima Pouye,43602041,G/UTIL,3700,WAS@TOR 07/14/2026 07:00PM ET,TOR,6.4,,
SF/PF,Raegan Beers (43602043),Raegan Beers,43602043,F/UTIL,3600,PDX@CON 07/14/2026 11:00AM ET,CON,9.1,,
SF/PF,Teonni Key (43602045),Teonni Key,43602045,F/UTIL,3500,WAS@TOR 07/14/2026 07:00PM ET,TOR,6.3,,
PG/SG,Hailey Van Lith (43602053),Hailey Van Lith,43602053,G/UTIL,3400,PDX@CON 07/14/2026 11:00AM ET,CON,12.7,,
PG/SG,Lucy Olsen (43602047),Lucy Olsen,43602047,G/UTIL,3300,WAS@TOR 07/14/2026 07:00PM ET,WAS,6,,
PG/SG,Cassandre Prosper (43602055),Cassandre Prosper,43602055,G/UTIL,3300,WAS@TOR 07/14/2026 07:00PM ET,WAS,5.6,,
SF/PF,Angela Dugalic (43602049),Angela Dugalic,43602049,F/UTIL,3200,WAS@TOR 07/14/2026 07:00PM ET,WAS,10.4,,
