Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Tyasha Harris (43588435),Tyasha Harris,43588435,G/UTIL,5400,IND@LVA 07/12/2026 09:00PM ET,IND,9.84
PG/SG,Georgia Amoore (43588437),Georgia Amoore,43588437,G/UTIL,5300,SEA@WAS 07/12/2026 03:00PM ET,WAS,13.28
PG/SG,Gabriela Jaquez (43588439),Gabriela Jaquez,43588439,G/UTIL,5200,CHI@DAL 07/12/2026 07:00PM ET,CHI,16.94
SF/PF,Myisha Hines-Allen (43588441),Myisha Hines-Allen,43588441,F/UTIL,5100,IND@LVA 07/12/2026 09:00PM ET,IND,12.04
PG/SG,Raven Johnson (43588443),Raven Johnson,43588443,G/UTIL,5000,IND@LVA 07/12/2026 09:00PM ET,IND,11.02
SF/PF,Kayla Alexander (43588447),Kayla Alexander,43588447,F/UTIL,4900,NYL@TOR 07/12/2026 03:00PM ET,TOR,3
PG/SG,DiJonai Carrington (43588445),DiJonai Carrington,43588445,G/UTIL,4900,CHI@DAL 07/12/2026 07:00PM ET,CHI,0
PG/SG,Jacy Sheldon (43588449),Jacy Sheldon,43588449,G/UTIL,4800,CHI@DAL 07/12/2026 07:00PM ET,CHI,14.52
PG/SG,Marine Johannes (43588451),Marine Johannes,43588451,G/UTIL,4700,NYL@TOR 07/12/2026 03:00PM ET,NYL,19.16
PG/SG,Kia Nurse (43588453),Kia Nurse,43588453,G/UTIL,4600,NYL@TOR 07/12/2026 03:00PM ET,TOR,7.93
SF/PF,Elizabeth Williams (43588455),Elizabeth Williams,43588455,F/UTIL,4500,CHI@DAL 07/12/2026 07:00PM ET,CHI,14.91
SF/PF,Lauren Betts (43588457),Lauren Betts,43588457,F/UTIL,4400,SEA@WAS 07/12/2026 03:00PM ET,WAS,13.32
SF/PF,Stephanie Talbot (43588459),Stephanie Talbot,43588459,F/UTIL,4300,IND@LVA 07/12/2026 09:00PM ET,LVA,11.22
PG/SG,Dana Evans (43588461),Dana Evans,43588461,G/UTIL,4200,IND@LVA 07/12/2026 09:00PM ET,LVA,0
PG/SG,Zia Cooke (43588463),Zia Cooke,43588463,G/UTIL,4100,SEA@WAS 07/12/2026 03:00PM ET,SEA,11.99
SF/PF,Jordan Horston (43588465),Jordan Horston,43588465,F/UTIL,4000,SEA@WAS 07/12/2026 03:00PM ET,SEA,14.62
SF/PF,Alanna Smith (43588467),Alanna Smith,43588467,F/UTIL,4000,CHI@DAL 07/12/2026 07:00PM ET,DAL,10.95
SF/PF,Katie Lou Samuelson (43588469),Katie Lou Samuelson,43588469,F/UTIL,3900,SEA@WAS 07/12/2026 03:00PM ET,SEA,10.07
PG/SG,Aicha Coulibaly (43588471),Aicha Coulibaly,43588471,G/UTIL,3900,CHI@DAL 07/12/2026 07:00PM ET,CHI,10.81
PG/SG,Tima Pouye (43588473),Tima Pouye,43588473,G/UTIL,3800,NYL@TOR 07/12/2026 03:00PM ET,TOR,6.61
PG/SG,Aziaha James (43588475),Aziaha James,43588475,G/UTIL,3800,CHI@DAL 07/12/2026 07:00PM ET,DAL,14.11
SF/PF,Teonni Key (43588479),Teonni Key,43588479,F/UTIL,3700,NYL@TOR 07/12/2026 03:00PM ET,TOR,6.30
SF/PF,Makayla Timpson (43588477),Makayla Timpson,43588477,F/UTIL,3700,IND@LVA 07/12/2026 09:00PM ET,IND,10.40
PG/SG,Odyssey Sims (43588481),Odyssey Sims,43588481,G/UTIL,3600,CHI@DAL 07/12/2026 07:00PM ET,DAL,11.18
SF/PF,Kierstan Bell (43588483),Kierstan Bell,43588483,F/UTIL,3600,IND@LVA 07/12/2026 09:00PM ET,LVA,6.99
SF/PF,Han Xu (43588485),Han Xu,43588485,F/UTIL,3500,NYL@TOR 07/12/2026 03:00PM ET,NYL,11.18
PG/SG,Rebekah Gardner (43588487),Rebekah Gardner,43588487,G/UTIL,3500,NYL@TOR 07/12/2026 03:00PM ET,NYL,10.67
SF/PF,Stefanie Dolson (43588489),Stefanie Dolson,43588489,F/UTIL,3400,SEA@WAS 07/12/2026 03:00PM ET,SEA,10.86
SF/PF,Brianna Turner (43588491),Brianna Turner,43588491,F/UTIL,3400,IND@LVA 07/12/2026 09:00PM ET,LVA,5.23
SF/PF,Angela Dugalic (43588493),Angela Dugalic,43588493,F/UTIL,3300,SEA@WAS 07/12/2026 03:00PM ET,WAS,10.95
PG/SG,Lucy Olsen (43588495),Lucy Olsen,43588495,G/UTIL,3300,SEA@WAS 07/12/2026 03:00PM ET,WAS,6.04
PG/SG,Betnijah Laney-Hamilton (43588499),Betnijah Laney-Hamilton,43588499,G/UTIL,3200,NYL@TOR 07/12/2026 03:00PM ET,NYL,9.83
PG/SG,Rachel Banham (43588497),Rachel Banham,43588497,G/UTIL,3200,CHI@DAL 07/12/2026 07:00PM ET,CHI,8.08
SF/PF,Raquel Carrera (43588505),Raquel Carrera,43588505,F/UTIL,3100,NYL@TOR 07/12/2026 03:00PM ET,NYL,4.04
PG/SG,Cassandre Prosper (43588503),Cassandre Prosper,43588503,G/UTIL,3100,SEA@WAS 07/12/2026 03:00PM ET,WAS,5.64
SF/PF,Maddy Siegrist (43588501),Maddy Siegrist,43588501,F/UTIL,3100,CHI@DAL 07/12/2026 07:00PM ET,DAL,12.07
SF/PF,Ornella Bankole (43588527),Ornella Bankole,43588527,F/UTIL,3000,NYL@TOR 07/12/2026 03:00PM ET,TOR,6.5
SF/PF,Anneli Maley (43588535),Anneli Maley,43588535,F/UTIL,3000,NYL@TOR 07/12/2026 03:00PM ET,NYL,3.31
PG/SG,Rebecca Allen (43588543),Rebecca Allen,43588543,G/UTIL,3000,NYL@TOR 07/12/2026 03:00PM ET,NYL,5.14
PG/SG,Marine Fauthoux (43588545),Marine Fauthoux,43588545,G/UTIL,3000,NYL@TOR 07/12/2026 03:00PM ET,NYL,1.5
PG/SG,Taina Mair (43588507),Taina Mair,43588507,G/UTIL,3000,SEA@WAS 07/12/2026 03:00PM ET,SEA,2.33
