Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
30,5186166380,DraftToWin839 (13/16),0,225.75,F Jessica Shepard F Laura Juskaite F Nell Angloma G Paige Bueckers G Marina Mabrey UTIL Rae Burrell,,Aaliyah Edwards,F,6.95%,16.5
30,5186268284,Ocin_D_Clown (116/150),0,225.75,F Jessica Shepard F Laura Juskaite F Nell Angloma G Paige Bueckers G Marina Mabrey UTIL Rae Burrell,,Nell Angloma,F,6.67%,18.25
30,5186498232,Bsaun32 (33/150),0,225.75,F Jessica Shepard F Isabelle Harrison F Laura Juskaite G Paige Bueckers G Tiffany Hayes UTIL Ariel Atkins,,Sydney Taylor,G,6.57%,18.75
30,5186585076,aarontdyson (69/150),0,225.75,F Jessica Shepard F Isabelle Harrison F Laura Juskaite G Paige Bueckers G Tiffany Hayes UTIL Ariel Atkins,,Courtney Vandersloot,G,5.99%,15.75
30,5186669108,darrylposton (46/50),0,225.75,F Nneka Ogwumike F Laura Juskaite F Nell Angloma G Paige Bueckers G Marina Mabrey UTIL Azzi Fudd,,Charlisse Leger-Walker,G,5.56%,15.75
35,5186498200,Bsaun32 (1/150),0,225.5,F Jessica Shepard F Isabelle Harrison F Laura Juskaite G Paige Bueckers G Tiffany Hayes UTIL Erica Wheeler,,Kiah Stokes,F,4.91%,13.5
36,5186377196,mythicalrhymer01 (9/20),0,225.25,F Nneka Ogwumike F Dearica Hamby F Laeticia Amihere G Marina Mabrey G Arike Ogunbowale UTIL Ariel Atkins,,Kaitlyn Chen,G,4.56%,12.75
37,5186456792,llllllllllllllllIll (33/150),0,225,F Nneka Ogwumike F Olivia Nelson-Ododa F Laura Juskaite G Marina Mabrey G Ariel Atkins UTIL Rae Burrell,,Courtney Vandersloot,UTIL,4.39%,15.75
37,5186498267,Bsaun32 (68/150),0,225,F Nneka Ogwumike F Isabelle Harrison F Laura Juskaite G Paige Bueckers G Jacy Sheldon UTIL Rae Burrell,,Ariel Atkins,UTIL,4.29%,36.25
37,5186539250,aquafinatim (97/150),0,225,F Nneka Ogwumike F Dearica Hamby F Laeticia Amihere G Marina Mabrey G Arike Ogunbowale UTIL Erica Wheeler,,Paige Bueckers,UTIL,4.21%,55
37,5186619100,sirjerkins (32/150),0,225,F Nneka Ogwumike F Olivia Nelson-Ododa F Laura Juskaite G Marina Mabrey G Rae Burrell UTIL Ariel Atkins,,Marina Mabrey,UTIL,3.87%,38.25
37,5186664426,monarch11 (21/38),0,225,F Nneka Ogwumike F Olivia Nelson-Ododa F Laura Juskaite G Marina Mabrey G Ariel Atkins UTIL Rae Burrell,,Cecilia Zandalasini,F,3.74%,7.75
42,5186268289,Ocin_D_Clown (121/150),0,224.5,F Jessica Shepard F Janelle Salaun F Laura Juskaite G Marina Mabrey G Rae Burrell UTIL Ariel Atkins,,Kamilla Cardoso,UTIL,3.42%,30
42,5186338633,milligolf (147/150),0,224.5,F Nneka Ogwumike F Isabelle Harrison F Laura Juskaite G Veronica Burton G Rae Burrell UTIL Ariel Atkins,,Raegan Beers,F,3.35%,6.5
42,5186476798,jwclark311 (15/150),0,224.5,F Nneka Ogwumike F Isabelle Harrison F Laura Juskaite G Veronica Burton G Rae Burrell UTIL Ariel Atkins,,Elizabeth Williams,F,3.28%,9.75
45,5186573636,ljb33bc102 (63/100),0,224.25,F Jessica Shepard F Isabelle Harrison F Laura Juskaite G Arike Ogunbowale G Tiffany Hayes UTIL Paige Bueckers,,Ariel Atkins,G,3.06%,36.25
45,5186585046,aarontdyson (39/150),0,224.25,F Jessica Shepard F Isabelle Harrison F Laura Juskaite G Paige Bueckers G Arike Ogunbowale UTIL Tiffany Hayes,,Tiffany Hayes,UTIL,3.01%,16.5
47,5186268279,Ocin_D_Clown (111/150),0,224,F Jessica Shepard F Maria Conde F Laura Juskaite G Marina Mabrey G Arike Ogunbowale UTIL Ariel Atkins,,Azzi Fudd,UTIL,2.97%,22
47,5186397716,soonerdallas (54/54),0,224,F Nneka Ogwumike F Janelle Salaun F Diamond Miller G Paige Bueckers G Arike Ogunbowale UTIL Rae Burrell,,Dearica Hamby,UTIL,2.89%,38.25
47,5186611107,michaelaedelstein (76/98),0,224,F Jessica Shepard F Maria Conde F Laura Juskaite G Marina Mabrey G Arike Ogunbowale UTIL Ariel Atkins,,Kaila Charles,UTIL,2.76%,18.25
50,5186268306,Ocin_D_Clown (138/150),0,223.75,F Jessica Shepard F Maria Conde F Laura Juskaite G Marina Mabrey G Arike Ogunbowale UTIL Erica Wheeler,,Erica Wheeler,G,2.71%,36
50,5186338489,milligolf (3/150),0,223.75,F Jessica Shepard F Maria Conde F Laura Juskaite G Marina Mabrey G Arike Ogunbowale UTIL Erica Wheeler,,Azura Stevens,UTIL,2.69%,24.5
50,5186428151,Wanna_Square_Up1567 (86/150),0,223.75,F Nneka Ogwumike F Olivia Nelson-Ododa F Laura Juskaite G Paige Bueckers G Kaila Charles UTIL Rae Burrell,,Nneka Ogwumike,UTIL,2.61%,53.5
