Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Breanna Stewart (43502754),Breanna Stewart,43502754,F/UTIL,11500,DAL@NYL 07/07/2026 08:00PM ET,NYL,40.26
SF/PF,Alyssa Thomas (43502756),Alyssa Thomas,43502756,F/UTIL,11300,CHI@PHX 07/07/2026 10:00PM ET,PHX,37.80
PG/SG,Paige Bueckers (43502758),Paige Bueckers,43502758,G/UTIL,11100,DAL@NYL 07/07/2026 08:00PM ET,DAL,36.32
SF/PF,Jessica Shepard (43502760),Jessica Shepard,43502760,F/UTIL,11000,DAL@NYL 07/07/2026 08:00PM ET,DAL,37.88
SF/PF,Jonquel Jones (43502762),Jonquel Jones,43502762,F/UTIL,10500,DAL@NYL 07/07/2026 08:00PM ET,NYL,34.27
SF/PF,Kamilla Cardoso (43502764),Kamilla Cardoso,43502764,F/UTIL,10000,CHI@PHX 07/07/2026 10:00PM ET,CHI,32.94
PG/SG,Sabrina Ionescu (43502766),Sabrina Ionescu,43502766,G/UTIL,9500,DAL@NYL 07/07/2026 08:00PM ET,NYL,23.38
PG/SG,Kahleah Copper (43502768),Kahleah Copper,43502768,G/UTIL,9300,CHI@PHX 07/07/2026 10:00PM ET,PHX,29.25
SF/PF,Azura Stevens (43502770),Azura Stevens,43502770,F/UTIL,9100,CHI@PHX 07/07/2026 10:00PM ET,CHI,24.1
PG/SG,Skylar Diggins (43502772),Skylar Diggins,43502772,G/UTIL,8900,CHI@PHX 07/07/2026 10:00PM ET,CHI,28.40
PG/SG,Azzi Fudd (43502774),Azzi Fudd,43502774,G/UTIL,8400,DAL@NYL 07/07/2026 08:00PM ET,DAL,24.11
PG/SG,DeWanna Bonner (43502776),DeWanna Bonner,43502776,G/UTIL,7700,CHI@PHX 07/07/2026 10:00PM ET,PHX,20.98
SF/PF,Natasha Mack (43502778),Natasha Mack,43502778,F/UTIL,7600,CHI@PHX 07/07/2026 10:00PM ET,PHX,26.10
PG/SG,Arike Ogunbowale (43502780),Arike Ogunbowale,43502780,G/UTIL,7500,DAL@NYL 07/07/2026 08:00PM ET,DAL,23.11
PG/SG,Sydney Taylor (43502782),Sydney Taylor,43502782,G/UTIL,7300,CHI@PHX 07/07/2026 10:00PM ET,CHI,17.96
SF/PF,Pauline Astier (43502784),Pauline Astier,43502784,F/UTIL,7100,DAL@NYL 07/07/2026 08:00PM ET,NYL,21.59
PG/SG,Natasha Cloud (43502786),Natasha Cloud,43502786,G/UTIL,6900,CHI@PHX 07/07/2026 10:00PM ET,CHI,21.63
SF/PF,Leonie Fiebich (43502788),Leonie Fiebich,43502788,F/UTIL,6600,DAL@NYL 07/07/2026 08:00PM ET,NYL,18.6
PG/SG,Valeriane Ayayi (43502790),Valeriane Ayayi,43502790,G/UTIL,6400,CHI@PHX 07/07/2026 10:00PM ET,PHX,14.05
SF/PF,Satou Sabally (43502792),Satou Sabally,43502792,F/UTIL,6100,DAL@NYL 07/07/2026 08:00PM ET,NYL,17.12
PG/SG,Monique Akoa Makani (43502794),Monique Akoa Makani,43502794,G/UTIL,6000,CHI@PHX 07/07/2026 10:00PM ET,PHX,19.95
SF/PF,Noemie Brochant (43502796),Noemie Brochant,43502796,F/UTIL,5900,CHI@PHX 07/07/2026 10:00PM ET,PHX,15.4
PG/SG,Lexi Held (43502798),Lexi Held,43502798,G/UTIL,5800,CHI@PHX 07/07/2026 10:00PM ET,PHX,10.75
PG/SG,Courtney Vandersloot (43502800),Courtney Vandersloot,43502800,G/UTIL,5500,CHI@PHX 07/07/2026 10:00PM ET,CHI,22.92
PG/SG,Gabriela Jaquez (43502802),Gabriela Jaquez,43502802,G/UTIL,5400,CHI@PHX 07/07/2026 10:00PM ET,CHI,17.16
PG/SG,Jacy Sheldon (43502804),Jacy Sheldon,43502804,G/UTIL,5300,CHI@PHX 07/07/2026 10:00PM ET,CHI,14.61
SF/PF,Awak Kuier (43502806),Awak Kuier,43502806,F/UTIL,5100,DAL@NYL 07/07/2026 08:00PM ET,DAL,13.62
PG/SG,Marine Johannes (43502808),Marine Johannes,43502808,G/UTIL,5000,DAL@NYL 07/07/2026 08:00PM ET,NYL,19.27
PG/SG,DiJonai Carrington (43502810),DiJonai Carrington,43502810,G/UTIL,4900,CHI@PHX 07/07/2026 10:00PM ET,CHI,0
SF/PF,Elizabeth Williams (43502812),Elizabeth Williams,43502812,F/UTIL,4500,CHI@PHX 07/07/2026 10:00PM ET,CHI,15.46
PG/SG,Aziaha James (43502814),Aziaha James,43502814,G/UTIL,4300,DAL@NYL 07/07/2026 08:00PM ET,DAL,15.02
SF/PF,Maddy Siegrist (43502816),Maddy Siegrist,43502816,F/UTIL,4100,DAL@NYL 07/07/2026 08:00PM ET,DAL,12.64
SF/PF,Alanna Smith (43502818),Alanna Smith,43502818,F/UTIL,4000,DAL@NYL 07/07/2026 08:00PM ET,DAL,11.34
SF/PF,Han Xu (43502820),Han Xu,43502820,F/UTIL,3900,DAL@NYL 07/07/2026 08:00PM ET,NYL,11.44
SF/PF,Kyara Linskens (43502822),Kyara Linskens,43502822,F/UTIL,3800,CHI@PHX 07/07/2026 10:00PM ET,PHX,9.72
PG/SG,Odyssey Sims (43502824),Odyssey Sims,43502824,G/UTIL,3600,DAL@NYL 07/07/2026 08:00PM ET,DAL,11.42
PG/SG,Sami Whitcomb (43502826),Sami Whitcomb,43502826,G/UTIL,3500,CHI@PHX 07/07/2026 10:00PM ET,PHX,0
SF/PF,Maddy Westbeld (43502828),Maddy Westbeld,43502828,F/UTIL,3500,CHI@PHX 07/07/2026 10:00PM ET,CHI,3.5
PG/SG,Aicha Coulibaly (43502830),Aicha Coulibaly,43502830,G/UTIL,3400,CHI@PHX 07/07/2026 10:00PM ET,CHI,10.27
SF/PF,Marta Suarez (43502832),Marta Suarez,43502832,F/UTIL,3400,CHI@PHX 07/07/2026 10:00PM ET,PHX,5.96
PG/SG,Betnijah Laney-Hamilton (43502834),Betnijah Laney-Hamilton,43502834,G/UTIL,3300,DAL@NYL 07/07/2026 08:00PM ET,NYL,10.91
SF/PF,Li Yueru (43502836),Li Yueru,43502836,F/UTIL,3300,DAL@NYL 07/07/2026 08:00PM ET,DAL,6.95
SF/PF,Alysha Clark (43502840),Alysha Clark,43502840,F/UTIL,3200,DAL@NYL 07/07/2026 08:00PM ET,DAL,4.46
PG/SG,Sha Carter (43502838),Sha Carter,43502838,G/UTIL,3200,CHI@PHX 07/07/2026 10:00PM ET,PHX,3.52
PG/SG,Rebekah Gardner (43502842),Rebekah Gardner,43502842,G/UTIL,3100,DAL@NYL 07/07/2026 08:00PM ET,NYL,10.88
PG/SG,Sug Sutton (43502844),Sug Sutton,43502844,G/UTIL,3100,DAL@NYL 07/07/2026 08:00PM ET,DAL,11.41
SF/PF,Raquel Carrera (43502846),Raquel Carrera,43502846,F/UTIL,3000,DAL@NYL 07/07/2026 08:00PM ET,NYL,4.5
PG/SG,Haley Jones (43502850),Haley Jones,43502850,G/UTIL,3000,DAL@NYL 07/07/2026 08:00PM ET,DAL,9.65
PG/SG,Rebecca Allen (43502854),Rebecca Allen,43502854,G/UTIL,3000,DAL@NYL 07/07/2026 08:00PM ET,NYL,5.68
PG/SG,Marine Fauthoux (43502856),Marine Fauthoux,43502856,G/UTIL,3000,DAL@NYL 07/07/2026 08:00PM ET,NYL,1.5
SF/PF,Anneli Maley (43502858),Anneli Maley,43502858,F/UTIL,3000,DAL@NYL 07/07/2026 08:00PM ET,NYL,3.31
PG/SG,Costanza Verona (43502864),Costanza Verona,43502864,G/UTIL,3000,DAL@NYL 07/07/2026 08:00PM ET,DAL,7
PG/SG,Shay Ciezki (43502848),Shay Ciezki,43502848,G/UTIL,3000,CHI@PHX 07/07/2026 10:00PM ET,PHX,3.12
PG/SG,Rachel Banham (43502852),Rachel Banham,43502852,G/UTIL,3000,CHI@PHX 07/07/2026 10:00PM ET,CHI,7.96
SF/PF,Rickea Jackson (43502860),Rickea Jackson,43502860,F/UTIL,3000,CHI@PHX 07/07/2026 10:00PM ET,CHI,30.69
SF/PF,Chloe Bibby (43502862),Chloe Bibby,43502862,F/UTIL,3000,CHI@PHX 07/07/2026 10:00PM ET,CHI,0
