Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,A'ja Wilson (43580548),A'ja Wilson,43580548,F/UTIL,12500,PHX@LVA 07/11/2026 06:00PM ET,LVA,49.28
SF/PF,Breanna Stewart (43580550),Breanna Stewart,43580550,F/UTIL,11600,NYL@MIN 07/11/2026 01:00PM ET,NYL,40.58
SF/PF,Alyssa Thomas (43580552),Alyssa Thomas,43580552,F/UTIL,11500,PHX@LVA 07/11/2026 06:00PM ET,PHX,37.93
SF/PF,Angel Reese (43580554),Angel Reese,43580554,F/UTIL,11300,PDX@ATL 07/11/2026 04:00PM ET,ATL,37.30
PG/SG,Jackie Young (43580556),Jackie Young,43580556,G/UTIL,10800,PHX@LVA 07/11/2026 06:00PM ET,LVA,35.76
SF/PF,Natasha Howard (43580558),Natasha Howard,43580558,F/UTIL,10700,NYL@MIN 07/11/2026 01:00PM ET,MIN,35.38
SF/PF,Jonquel Jones (43580560),Jonquel Jones,43580560,F/UTIL,10500,NYL@MIN 07/11/2026 01:00PM ET,NYL,34.53
PG/SG,Olivia Miles (43580562),Olivia Miles,43580562,G/UTIL,10400,NYL@MIN 07/11/2026 01:00PM ET,MIN,36.28
SF/PF,Napheesa Collier (43580564),Napheesa Collier,43580564,F/UTIL,10300,NYL@MIN 07/11/2026 01:00PM ET,MIN,0
PG/SG,Courtney Williams (43580566),Courtney Williams,43580566,G/UTIL,10100,NYL@MIN 07/11/2026 01:00PM ET,MIN,32.24
PG/SG,Rhyne Howard (43580568),Rhyne Howard,43580568,G/UTIL,10000,PDX@ATL 07/11/2026 04:00PM ET,ATL,36.08
PG/SG,Kahleah Copper (43580570),Kahleah Copper,43580570,G/UTIL,9500,PHX@LVA 07/11/2026 06:00PM ET,PHX,29.67
PG/SG,Kayla McBride (43580572),Kayla McBride,43580572,G/UTIL,9200,NYL@MIN 07/11/2026 01:00PM ET,MIN,28.03
PG/SG,Sabrina Ionescu (43580574),Sabrina Ionescu,43580574,G/UTIL,9000,NYL@MIN 07/11/2026 01:00PM ET,NYL,23.64
PG/SG,Chelsea Gray (43580576),Chelsea Gray,43580576,G/UTIL,8900,PHX@LVA 07/11/2026 06:00PM ET,LVA,30.27
PG/SG,Allisha Gray (43580578),Allisha Gray,43580578,G/UTIL,8700,PDX@ATL 07/11/2026 04:00PM ET,ATL,29.94
PG/SG,Jordin Canada (43580580),Jordin Canada,43580580,G/UTIL,8600,PDX@ATL 07/11/2026 04:00PM ET,ATL,30.93
