Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,A'ja Wilson (43516460),A'ja Wilson,43516460,F/UTIL,12700,LVA@PDX 07/09/2026 10:00PM ET,LVA,48.79
PG/SG,Caitlin Clark (43516462),Caitlin Clark,43516462,G/UTIL,11800,IND@PHX 07/09/2026 10:00PM ET,IND,39.03
SF/PF,Alyssa Thomas (43516464),Alyssa Thomas,43516464,F/UTIL,11600,IND@PHX 07/09/2026 10:00PM ET,PHX,37.65
SF/PF,Aliyah Boston (43516466),Aliyah Boston,43516466,F/UTIL,11500,IND@PHX 07/09/2026 10:00PM ET,IND,36.42
PG/SG,Jackie Young (43516468),Jackie Young,43516468,G/UTIL,11300,LVA@PDX 07/09/2026 10:00PM ET,LVA,35.11
SF/PF,Angel Reese (43516470),Angel Reese,43516470,F/UTIL,11200,SEA@ATL 07/09/2026 08:00PM ET,ATL,37.23
PG/SG,Rhyne Howard (43516472),Rhyne Howard,43516472,G/UTIL,10400,SEA@ATL 07/09/2026 08:00PM ET,ATL,35.91
PG/SG,Kelsey Mitchell (43516474),Kelsey Mitchell,43516474,G/UTIL,10200,IND@PHX 07/09/2026 10:00PM ET,IND,30.5
PG/SG,Kahleah Copper (43516476),Kahleah Copper,43516476,G/UTIL,9900,IND@PHX 07/09/2026 10:00PM ET,PHX,29.45
PG/SG,Natisha Hiedeman (43516478),Natisha Hiedeman,43516478,G/UTIL,9800,SEA@ATL 07/09/2026 08:00PM ET,SEA,28.12
SF/PF,Dominique Malonga (43516480),Dominique Malonga,43516480,F/UTIL,9700,SEA@ATL 07/09/2026 08:00PM ET,SEA,30.58
PG/SG,Chelsea Gray (43516482),Chelsea Gray,43516482,G/UTIL,9500,LVA@PDX 07/09/2026 10:00PM ET,LVA,30.5
PG/SG,Flau'Jae Johnson (43516484),Flau'Jae Johnson,43516484,G/UTIL,9400,SEA@ATL 07/09/2026 08:00PM ET,SEA,27.08
PG/SG,Jordin Canada (43516486),Jordin Canada,43516486,G/UTIL,9200,SEA@ATL 07/09/2026 08:00PM ET,ATL,30.30
PG/SG,Allisha Gray (43516488),Allisha Gray,43516488,G/UTIL,9000,SEA@ATL 07/09/2026 08:00PM ET,ATL,29.64
PG/SG,Carla Leite (43516490),Carla Leite,43516490,G/UTIL,8800,LVA@PDX 07/09/2026 10:00PM ET,PDX,27.09
SF/PF,Bridget Carleton (43516492),Bridget Carleton,43516492,F/UTIL,8500,LVA@PDX 07/09/2026 10:00PM ET,PDX,25.72
SF/PF,Awa Fam (43516494),Awa Fam,43516494,F/UTIL,8400,SEA@ATL 07/09/2026 08:00PM ET,SEA,24.12
SF/PF,NaLyssa Smith (43516496),NaLyssa Smith,43516496,F/UTIL,8300,LVA@PDX 07/09/2026 10:00PM ET,LVA,22.74
SF/PF,Megan Gustafson (43516498),Megan Gustafson,43516498,F/UTIL,8200,LVA@PDX 07/09/2026 10:00PM ET,PDX,20.58
PG/SG,Sarah Ashlee Barker (43516500),Sarah Ashlee Barker,43516500,G/UTIL,7900,LVA@PDX 07/09/2026 10:00PM ET,PDX,22.05
PG/SG,DeWanna Bonner (43516502),DeWanna Bonner,43516502,G/UTIL,7800,IND@PHX 07/09/2026 10:00PM ET,PHX,21.17
SF/PF,Emily Engstler (43516504),Emily Engstler,43516504,F/UTIL,7700,LVA@PDX 07/09/2026 10:00PM ET,PDX,23.69
SF/PF,Natasha Mack (43516506),Natasha Mack,43516506,F/UTIL,7600,IND@PHX 07/09/2026 10:00PM ET,PHX,26.10
SF/PF,Monique Billings (43516508),Monique Billings,43516508,F/UTIL,7500,IND@PHX 07/09/2026 10:00PM ET,IND,17.81
SF/PF,Brionna Jones (43516510),Brionna Jones,43516510,F/UTIL,7000,SEA@ATL 07/09/2026 08:00PM ET,ATL,0
PG/SG,Valeriane Ayayi (43516512),Valeriane Ayayi,43516512,G/UTIL,6800,IND@PHX 07/09/2026 10:00PM ET,PHX,14.23
