Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Temi Fagbenle (43509749),Temi Fagbenle,43509749,F/UTIL,5400,GSV@TOR 07/08/2026 07:00PM ET,TOR,15.47
SF/PF,Myisha Hines-Allen (43509751),Myisha Hines-Allen,43509751,F/UTIL,5300,IND@LAS 07/08/2026 10:00PM ET,IND,12.81
PG/SG,Raven Johnson (43509753),Raven Johnson,43509753,G/UTIL,5200,IND@LAS 07/08/2026 10:00PM ET,IND,10.8
PG/SG,Kia Nurse (43509755),Kia Nurse,43509755,G/UTIL,5100,GSV@TOR 07/08/2026 07:00PM ET,TOR,7.95
SF/PF,Dorka Juhasz (43509757),Dorka Juhasz,43509757,F/UTIL,5000,MIN@CON 07/08/2026 07:30PM ET,MIN,14.5
PG/SG,Tyasha Harris (43509759),Tyasha Harris,43509759,G/UTIL,4900,IND@LAS 07/08/2026 10:00PM ET,IND,7.78
PG/SG,Maya Caldwell (43509761),Maya Caldwell,43509761,G/UTIL,4800,MIN@CON 07/08/2026 07:30PM ET,MIN,10.87
SF/PF,Laeticia Amihere (43509763),Laeticia Amihere,43509763,F/UTIL,4700,GSV@TOR 07/08/2026 07:00PM ET,GSV,11.49
PG/SG,Tiffany Hayes (43509765),Tiffany Hayes,43509765,G/UTIL,4600,GSV@TOR 07/08/2026 07:00PM ET,GSV,13.16
PG/SG,Kaitlyn Chen (43509767),Kaitlyn Chen,43509767,G/UTIL,4400,GSV@TOR 07/08/2026 07:00PM ET,GSV,11.04
PG/SG,Tima Pouye (43509769),Tima Pouye,43509769,G/UTIL,4300,GSV@TOR 07/08/2026 07:00PM ET,TOR,7.02
PG/SG,Antonia Delaere (43509771),Antonia Delaere,43509771,G/UTIL,4200,MIN@CON 07/08/2026 07:30PM ET,MIN,7.12
SF/PF,Emma Cannon (43509773),Emma Cannon,43509773,F/UTIL,4000,IND@LAS 07/08/2026 10:00PM ET,LAS,7.83
SF/PF,Jihyun Park (43509775),Jihyun Park,43509775,F/UTIL,3900,IND@LAS 07/08/2026 10:00PM ET,LAS,4.88
SF/PF,Makayla Timpson (43509777),Makayla Timpson,43509777,F/UTIL,3800,IND@LAS 07/08/2026 10:00PM ET,IND,9.90
PG/SG,Chance Gray (43509779),Chance Gray,43509779,G/UTIL,3700,IND@LAS 07/08/2026 10:00PM ET,LAS,6.26
PG/SG,Kiana Williams (43509781),Kiana Williams,43509781,G/UTIL,3600,IND@LAS 07/08/2026 10:00PM ET,LAS,7.44
PG/SG,Kate Martin (43509783),Kate Martin,43509783,G/UTIL,3500,IND@LAS 07/08/2026 10:00PM ET,LAS,6.14
SF/PF,Anastasiia Olairi Kosu (43509785),Anastasiia Olairi Kosu,43509785,F/UTIL,3400,MIN@CON 07/08/2026 07:30PM ET,MIN,10.11
SF/PF,Teonni Key (43509787),Teonni Key,43509787,F/UTIL,3300,GSV@TOR 07/08/2026 07:00PM ET,TOR,6.55
PG/SG,Ashlon Jackson (43509789),Ashlon Jackson,43509789,G/UTIL,3200,MIN@CON 07/08/2026 07:30PM ET,CON,6.42
SF/PF,Alissa Pili (43509791),Alissa Pili,43509791,F/UTIL,3200,IND@LAS 07/08/2026 10:00PM ET,LAS,0
PG/SG,Hailey Van Lith (43509793),Hailey Van Lith,43509793,G/UTIL,3100,MIN@CON 07/08/2026 07:30PM ET,CON,13.48
PG/SG,Eliska Hamzova (43509795),Eliska Hamzova,43509795,G/UTIL,3100,MIN@CON 07/08/2026 07:30PM ET,MIN,5.71
SF/PF,Iliana Rupert (43509805),Iliana Rupert,43509805,F/UTIL,3000,GSV@TOR 07/08/2026 07:00PM ET,GSV,0
SF/PF,Ornella Bankole (43509809),Ornella Bankole,43509809,F/UTIL,3000,GSV@TOR 07/08/2026 07:00PM ET,TOR,6.5
SF/PF,Ashten Prechtel (43509815),Ashten Prechtel,43509815,F/UTIL,3000,GSV@TOR 07/08/2026 07:00PM ET,GSV,8.25
SF/PF,Juste Jocyte (43509817),Juste Jocyte,43509817,F/UTIL,3000,GSV@TOR 07/08/2026 07:00PM ET,GSV,5.28
SF/PF,Nadia Fingall (43509819),Nadia Fingall,43509819,F/UTIL,3000,GSV@TOR 07/08/2026 07:00PM ET,GSV,1.62
PG/SG,Miela Sowah (43509827),Miela Sowah,43509827,G/UTIL,3000,GSV@TOR 07/08/2026 07:00PM ET,GSV,0
SF/PF,Liatu King (43509799),Liatu King,43509799,F/UTIL,3000,MIN@CON 07/08/2026 07:30PM ET,MIN,9.32
SF/PF,Emma Cechova (43509807),Emma Cechova,43509807,F/UTIL,3000,MIN@CON 07/08/2026 07:30PM ET,MIN,14.25
SF/PF,Raegan Beers (43509811),Raegan Beers,43509811,F/UTIL,3000,MIN@CON 07/08/2026 07:30PM ET,CON,9.34
SF/PF,Nell Angloma (43509813),Nell Angloma,43509813,F/UTIL,3000,MIN@CON 07/08/2026 07:30PM ET,CON,6.79
SF/PF,Emese Hof (43509823),Emese Hof,43509823,F/UTIL,3000,MIN@CON 07/08/2026 07:30PM ET,MIN,4.75
PG/SG,Gianna Kneepkens (43509825),Gianna Kneepkens,43509825,G/UTIL,3000,MIN@CON 07/08/2026 07:30PM ET,CON,5.47
SF/PF,Grace VanSlooten (43509797),Grace VanSlooten,43509797,F/UTIL,3000,IND@LAS 07/08/2026 10:00PM ET,IND,5.38
PG/SG,Bree Hall (43509801),Bree Hall,43509801,G/UTIL,3000,IND@LAS 07/08/2026 10:00PM ET,IND,6.75
SF/PF,Damiris Dantas (43509803),Damiris Dantas,43509803,F/UTIL,3000,IND@LAS 07/08/2026 10:00PM ET,IND,5.75
SF/PF,Justine Pissott (43509821),Justine Pissott,43509821,F/UTIL,3000,IND@LAS 07/08/2026 10:00PM ET,IND,0
