Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
28,5184129219,ForeverMarley (12/20),0,216,F Jessica Shepard F Jonquel Jones F Awak Kuier G Valeriane Ayayi G Courtney Vandersloot UTIL Breanna Stewart,,Natasha Cloud,UTIL,3.03%,30
28,5184165467,Esquibel_29 (1/13),0,216,F Breanna Stewart F Jessica Shepard F Jonquel Jones G Valeriane Ayayi G Courtney Vandersloot UTIL Awak Kuier,,Sabrina Ionescu,UTIL,3.01%,26.25
28,5184220915,Dmatrix74 (5/6),0,216,F Breanna Stewart F Jessica Shepard F Jonquel Jones G Valeriane Ayayi G Courtney Vandersloot UTIL Awak Kuier,,Azzi Fudd,UTIL,2.85%,20.5
28,5184418380,bigshab (5/10),0,216,F Breanna Stewart F Jessica Shepard F Jonquel Jones G Valeriane Ayayi G Courtney Vandersloot UTIL Awak Kuier,,Marine Johannes,UTIL,2.83%,12.5
28,5184479492,slyguy717 (4/11),0,216,F Breanna Stewart F Jessica Shepard F Awak Kuier G Valeriane Ayayi G Courtney Vandersloot UTIL Jonquel Jones,,Elizabeth Williams,UTIL,2.80%,9
28,5184481117,kenrymiller (61/145),0,216,F Breanna Stewart F Jessica Shepard F Jonquel Jones G Valeriane Ayayi G Courtney Vandersloot UTIL Awak Kuier,,Azura Stevens,UTIL,2.13%,27.5
28,5184493339,SGT_Moe (25/89),0,216,F Breanna Stewart F Jessica Shepard F Awak Kuier G Valeriane Ayayi G Courtney Vandersloot UTIL Jonquel Jones,,Arike Ogunbowale,UTIL,2.02%,12.25
28,5184502788,TheHeismen (86/150),0,216,F Breanna Stewart F Jessica Shepard F Jonquel Jones G Valeriane Ayayi G Courtney Vandersloot UTIL Awak Kuier,,Skylar Diggins,G,1.89%,0
28,5184562199,lootmeup93 (84/100),0,216,F Jessica Shepard F Jonquel Jones F Awak Kuier G Valeriane Ayayi G Courtney Vandersloot UTIL Breanna Stewart,,Paige Bueckers,UTIL,1.77%,36.75
44,5183929936,sciolaro (3/3),0,215.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G Azzi Fudd G DeWanna Bonner UTIL Natasha Cloud,,Awak Kuier,UTIL,1.64%,44
44,5184098901,datyoungreezy (57/150),0,215.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G DeWanna Bonner G Valeriane Ayayi UTIL Kahleah Copper,,Rebekah Gardner,UTIL,1.58%,11.25
44,5184263169,floydian80 (30/30),0,215.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G DeWanna Bonner G Valeriane Ayayi UTIL Kahleah Copper,,Breanna Stewart,UTIL,1.56%,47.25
44,5184315744,mwheel7 (105/150),0,215.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G Kahleah Copper G DeWanna Bonner UTIL Valeriane Ayayi,,Betnijah Laney-Hamilton,G,1.49%,1.5
44,5184331116,Brandon1204 (9/11),0,215.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G Kahleah Copper G DeWanna Bonner UTIL Valeriane Ayayi,,Noemie Brochant,UTIL,1.44%,7.75
44,5184397935,Hiyana98 (1/2),0,215.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G Azzi Fudd G DeWanna Bonner UTIL Natasha Cloud,,Monique Akoa Makani,G,1.35%,12.25
44,5184480769,mechie333 (9/16),0,215.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G Kahleah Copper G DeWanna Bonner UTIL Valeriane Ayayi,,Aziaha James,G,1.19%,5
44,5184480770,mechie333 (10/16),0,215.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G Kahleah Copper G DeWanna Bonner UTIL Valeriane Ayayi,,Jonquel Jones,UTIL,1.15%,40
44,5184480771,mechie333 (11/16),0,215.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G Kahleah Copper G DeWanna Bonner UTIL Valeriane Ayayi,,Pauline Astier,UTIL,1.11%,7
44,5184480772,mechie333 (12/16),0,215.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G Kahleah Copper G DeWanna Bonner UTIL Valeriane Ayayi,,Jessica Shepard,UTIL,1.00%,56
44,5184480773,mechie333 (13/16),0,215.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G Kahleah Copper G DeWanna Bonner UTIL Valeriane Ayayi,,Monique Akoa Makani,UTIL,0.97%,12.25
44,5184480774,mechie333 (14/16),0,215.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G Kahleah Copper G DeWanna Bonner UTIL Valeriane Ayayi,,Kyara Linskens,F,0.91%,2.75
44,5184480775,mechie333 (15/16),0,215.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G Kahleah Copper G DeWanna Bonner UTIL Valeriane Ayayi,,Raquel Carrera,F,0.70%,1.5
44,5184480776,mechie333 (16/16),0,215.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G Kahleah Copper G DeWanna Bonner UTIL Valeriane Ayayi,,Alanna Smith,UTIL,0.69%,15.75
44,5184481187,kenrymiller (131/145),0,215.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G Kahleah Copper G DeWanna Bonner UTIL Valeriane Ayayi,,Gabriela Jaquez,G,0.63%,9.25
44,5184520251,dahask3411,0,215.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G Kahleah Copper G Valeriane Ayayi UTIL DeWanna Bonner,,Aziaha James,UTIL,0.63%,5
60,5184465777,llllllllllllllllIll (75/150),0,215.5,F Jessica Shepard F Jonquel Jones F Awak Kuier G Paige Bueckers G Rebekah Gardner UTIL Azura Stevens,,Han Xu,UTIL,0.56%,5.75
60,5184559403,Longsummers (3/3),0,215.5,F Jessica Shepard F Jonquel Jones F Awak Kuier G Paige Bueckers G Rebekah Gardner UTIL Azura Stevens,,Aicha Coulibaly,G,0.56%,19.75
62,5184263151,floydian80 (12/30),0,215.25,F Jessica Shepard F Jonquel Jones F Awak Kuier G Kahleah Copper G Courtney Vandersloot UTIL Natasha Cloud,,Skylar Diggins,UTIL,0.55%,0
62,5184385679,kimmiserin (21/150),0,215.25,F Alyssa Thomas F Jessica Shepard F Awak Kuier G Kahleah Copper G Valeriane Ayayi UTIL Natasha Cloud,,Gabriela Jaquez,UTIL,0.49%,9.25
64,5184409431,kcelite13 (40/48),0,214.75,F Breanna Stewart F Jessica Shepard F Awak Kuier G DeWanna Bonner G Arike Ogunbowale UTIL Natasha Cloud,,Jacy Sheldon,G,0.45%,9.75
65,5184263149,floydian80 (10/30),0,213.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G Natasha Cloud G Monique Akoa Makani UTIL Kamilla Cardoso,,Aicha Coulibaly,UTIL,0.39%,19.75
66,5184051500,mertqq40 (81/150),0,213.5,F Jessica Shepard F Jonquel Jones F Awak Kuier G Kahleah Copper G Marine Johannes UTIL Azura Stevens,,Odyssey Sims,G,0.36%,9.25
66,5184481185,kenrymiller (129/145),0,213.5,F Jessica Shepard F Jonquel Jones F Awak Kuier G Kahleah Copper G Marine Johannes UTIL Azura Stevens,,Maddy Siegrist,UTIL,0.31%,0
68,5184013344,11baller20 (9/20),0,212.25,F Jessica Shepard F Awak Kuier F Alanna Smith G Paige Bueckers G Sabrina Ionescu UTIL Kahleah Copper,,Odyssey Sims,UTIL,0.29%,9.25
68,5184013348,11baller20 (13/20),0,212.25,F Jessica Shepard F Awak Kuier F Alanna Smith G Paige Bueckers G Sabrina Ionescu UTIL Kahleah Copper,,Kyara Linskens,UTIL,0.27%,2.75
68,5184169408,jwclark311 (45/150),0,212.25,F Jessica Shepard F Awak Kuier F Alanna Smith G Paige Bueckers G Sabrina Ionescu UTIL Kahleah Copper,,Marta Suarez,F,0.25%,0.75
68,5184431942,michaelaedelstein (15/37),0,212.25,F Jessica Shepard F Awak Kuier F Alanna Smith G Paige Bueckers G Sabrina Ionescu UTIL Kahleah Copper,,Betnijah Laney-Hamilton,UTIL,0.24%,1.5
68,5184465843,llllllllllllllllIll (141/150),0,212.25,F Jessica Shepard F Awak Kuier F Alanna Smith G Paige Bueckers G Sabrina Ionescu UTIL Kahleah Copper,,Li Yueru,F,0.22%,0
68,5184505049,504ant (34/50),0,212.25,F Jessica Shepard F Awak Kuier F Alanna Smith G Paige Bueckers G Sabrina Ionescu UTIL Kahleah Copper,,Jacy Sheldon,UTIL,0.21%,9.75
74,5184169508,jwclark311 (145/150),0,211.75,F Breanna Stewart F Jonquel Jones F Awak Kuier G Natasha Cloud G Valeriane Ayayi UTIL Kahleah Copper,,Sug Sutton,G,0.20%,0
74,5184499796,ZeroGravitymusicmke (120/150),0,211.75,F Breanna Stewart F Jonquel Jones F Awak Kuier G Kahleah Copper G Natasha Cloud UTIL Valeriane Ayayi,,Maddy Westbeld,F,0.18%,0
76,5184418991,crepass (148/150),0,211.5,F Breanna Stewart F Jessica Shepard F Awak Kuier G Sydney Taylor G Rebekah Gardner UTIL Alyssa Thomas,,Sha Carter,G,0.18%,0
77,5184127776,milligolf (75/150),0,211.25,F Breanna Stewart F Jessica Shepard F Awak Kuier G Sabrina Ionescu G Marine Johannes UTIL DeWanna Bonner,,Alysha Clark,F,0.13%,0
77,5184263154,floydian80 (15/30),0,211.25,F Jessica Shepard F Jonquel Jones F Awak Kuier G Kahleah Copper G Natasha Cloud UTIL Noemie Brochant,,Marta Suarez,UTIL,0.13%,0.75
79,5184013340,11baller20 (5/20),0,211,F Alyssa Thomas F Jessica Shepard F Awak Kuier G Kahleah Copper G Rebekah Gardner UTIL Kamilla Cardoso,,Rebecca Allen,G,0.10%,1.5
79,5184051562,mertqq40 (143/150),0,211,F Jessica Shepard F Jonquel Jones F Awak Kuier G Paige Bueckers G DeWanna Bonner UTIL Elizabeth Williams,,Rachel Banham,UTIL,0.08%,14.5
79,5184263157,floydian80 (18/30),0,211,F Jessica Shepard F Jonquel Jones F Awak Kuier G DeWanna Bonner G Monique Akoa Makani UTIL Kahleah Copper,,Sha Carter,UTIL,0.07%,0
82,5184413562,ecglover8 (36/38),0,210.75,F Breanna Stewart F Jessica Shepard F Awak Kuier G Paige Bueckers G Betnijah Laney-Hamilton UTIL DeWanna Bonner,,Rachel Banham,G,0.07%,14.5
83,5183984464,Brandon1204 (2/11),0,210.5,F Jessica Shepard F Jonquel Jones F Pauline Astier G Kahleah Copper G Natasha Cloud UTIL Awak Kuier,,Li Yueru,UTIL,0.06%,0
83,5184263160,floydian80 (21/30),0,210.5,F Jessica Shepard F Jonquel Jones F Awak Kuier G Kahleah Copper G Courtney Vandersloot UTIL DeWanna Bonner,,Sug Sutton,UTIL,0.06%,0
83,5184385699,kimmiserin (41/150),0,210.5,F Jessica Shepard F Awak Kuier F Elizabeth Williams G Paige Bueckers G Natasha Cloud UTIL Alyssa Thomas,,Rebecca Allen,UTIL,0.06%,1.5
83,5184440036,blackdiamonds7 (17/150),0,210.5,F Alyssa Thomas F Jessica Shepard F Elizabeth Williams G Paige Bueckers G Natasha Cloud UTIL Awak Kuier,,Leonie Fiebich,F,0.04%,0
87,5184428976,SMITTOFF11 (1/4),0,210.25,F Breanna Stewart F Awak Kuier F Elizabeth Williams G Kahleah Copper G Azzi Fudd UTIL Jessica Shepard,,Raquel Carrera,UTIL,0.04%,1.5
87,5184429018,SMITTOFF11 (2/4),0,210.25,F Breanna Stewart F Awak Kuier F Elizabeth Williams G Kahleah Copper G Azzi Fudd UTIL Jessica Shepard,,Haley Jones,UTIL,0.04%,0
87,5184429108,SMITTOFF11 (3/4),0,210.25,F Breanna Stewart F Awak Kuier F Elizabeth Williams G Kahleah Copper G Azzi Fudd UTIL Jessica Shepard,,Maddy Westbeld,UTIL,0.03%,0
87,5184430515,SMITTOFF11 (4/4),0,210.25,F Breanna Stewart F Awak Kuier F Elizabeth Williams G Kahleah Copper G Azzi Fudd UTIL Jessica Shepard,,Haley Jones,G,0.03%,0
91,5184324552,abbdogg (9/12),0,210,F Jessica Shepard F Kamilla Cardoso F Awak Kuier G Paige Bueckers G Courtney Vandersloot UTIL Natasha Cloud,,Alysha Clark,UTIL,0.03%,0
91,5184564259,Dmatrix74 (6/6),0,210,F Breanna Stewart F Jessica Shepard F Awak Kuier G Paige Bueckers G Valeriane Ayayi UTIL Elizabeth Williams,,,
93,5184263159,floydian80 (20/30),0,209.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G Natasha Cloud G Monique Akoa Makani UTIL Azura Stevens,,,
94,5184098936,datyoungreezy (92/150),0,209.5,F Breanna Stewart F Jessica Shepard F Awak Kuier G Sydney Taylor G Odyssey Sims UTIL Alyssa Thomas,,,
94,5184285678,Wanna_Square_Up1567 (135/150),0,209.5,F Breanna Stewart F Jessica Shepard F Awak Kuier G Sydney Taylor G Marine Johannes UTIL Kamilla Cardoso,,,
96,5184263167,floydian80 (28/30),0,209.25,F Jessica Shepard F Jonquel Jones F Awak Kuier G Kahleah Copper G Natasha Cloud UTIL Lexi Held,,,
97,5184484480,3Debo0401 (1/2),0,209,F Breanna Stewart F Jonquel Jones F Alanna Smith G Paige Bueckers G DeWanna Bonner UTIL Awak Kuier,,,
98,5184385715,kimmiserin (56/150),0,208.75,F Breanna Stewart F Jessica Shepard F Awak Kuier G Kahleah Copper G Jacy Sheldon UTIL Sydney Taylor,,,
99,5183995738,CantGetRight69 (1/50),0,208.5,F Breanna Stewart F Awak Kuier F Alanna Smith G Paige Bueckers G Natasha Cloud UTIL Alyssa Thomas,,,
99,5184051517,mertqq40 (98/150),0,208.5,F Jessica Shepard F Jonquel Jones F Awak Kuier G DeWanna Bonner G Courtney Vandersloot UTIL Kamilla Cardoso,,,
99,5184258776,gmorp123nice (4/5),0,208.5,F Breanna Stewart F Alyssa Thomas F Awak Kuier G Paige Bueckers G Natasha Cloud UTIL Alanna Smith,,,
99,5184259346,DOTTEM (2/2),0,208.5,F Jessica Shepard F Jonquel Jones F Awak Kuier G DeWanna Bonner G Courtney Vandersloot UTIL Kamilla Cardoso,,,
99,5184260185,gmorp123nice (5/5),0,208.5,F Breanna Stewart F Alyssa Thomas F Awak Kuier G Paige Bueckers G Natasha Cloud UTIL Alanna Smith,,,
99,5184409951,Bsaun32 (138/150),0,208.5,F Jessica Shepard F Jonquel Jones F Awak Kuier G DeWanna Bonner G Courtney Vandersloot UTIL Kamilla Cardoso,,,
105,5184169486,jwclark311 (123/150),0,208.25,F Breanna Stewart F Jessica Shepard F Awak Kuier G Paige Bueckers G Marine Johannes UTIL Courtney Vandersloot,,,
105,5184290799,al4988,0,208.25,F Breanna Stewart F Jessica Shepard F Awak Kuier G Paige Bueckers G Courtney Vandersloot UTIL Marine Johannes,,,
107,5184051437,mertqq40 (18/150),0,208,F Alyssa Thomas F Jessica Shepard F Awak Kuier G Paige Bueckers G Rebekah Gardner UTIL DeWanna Bonner,,,
107,5184177445,lexus_chris (6/12),0,208,F Alyssa Thomas F Jessica Shepard F Kamilla Cardoso G Natasha Cloud G Courtney Vandersloot UTIL Awak Kuier,,,
107,5184197787,lexus_chris (10/12),0,208,F Alyssa Thomas F Jessica Shepard F Kamilla Cardoso G Natasha Cloud G Courtney Vandersloot UTIL Awak Kuier,,,
107,5184409901,Bsaun32 (88/150),0,208,F Alyssa Thomas F Jessica Shepard F Awak Kuier G Natasha Cloud G Courtney Vandersloot UTIL Kamilla Cardoso,,,
107,5184465768,llllllllllllllllIll (66/150),0,208,F Alyssa Thomas F Jessica Shepard F Awak Kuier G Paige Bueckers G Rebekah Gardner UTIL DeWanna Bonner,,,
112,5184263147,floydian80 (8/30),0,207.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G Kahleah Copper G DeWanna Bonner UTIL Elizabeth Williams,,,
112,5184409401,kcelite13 (10/48),0,207.75,F Breanna Stewart F Jessica Shepard F Awak Kuier G Arike Ogunbowale G Sydney Taylor UTIL Natasha Cloud,,,
114,5184315709,mwheel7 (70/150),0,207.5,F Jessica Shepard F Kamilla Cardoso F Awak Kuier G Valeriane Ayayi G Courtney Vandersloot UTIL Breanna Stewart,,,
114,5184365223,Hey...HereWeGo1 (69/74),0,207.5,F Breanna Stewart F Azura Stevens F Awak Kuier G Kahleah Copper G Natasha Cloud UTIL DeWanna Bonner,,,
114,5184499798,ZeroGravitymusicmke (122/150),0,207.5,F Breanna Stewart F Jessica Shepard F Awak Kuier G Valeriane Ayayi G Courtney Vandersloot UTIL Kamilla Cardoso,,,
117,5183984357,Ambiance1 (1/3),0,207.25,F Jessica Shepard F Kamilla Cardoso F Awak Kuier G Kahleah Copper G DeWanna Bonner UTIL Valeriane Ayayi,,,
118,5184365214,Hey...HereWeGo1 (60/74),0,207,F Breanna Stewart F Jonquel Jones F Elizabeth Williams G Paige Bueckers G Natasha Cloud UTIL Awak Kuier,,,
119,5184051488,mertqq40 (69/150),0,206.75,F Jonquel Jones F Awak Kuier F Alanna Smith G Sabrina Ionescu G Kahleah Copper UTIL Breanna Stewart,,,
119,5184285692,Wanna_Square_Up1567 (149/150),0,206.75,F Breanna Stewart F Awak Kuier F Alanna Smith G Sabrina Ionescu G Kahleah Copper UTIL Jonquel Jones,,,
119,5184297204,Beltar (1/3),0,206.75,F Breanna Stewart F Jonquel Jones F Awak Kuier G Sabrina Ionescu G Kahleah Copper UTIL Alanna Smith,,,
122,5184263148,floydian80 (9/30),0,206.5,F Jessica Shepard F Jonquel Jones F Awak Kuier G DeWanna Bonner G Jacy Sheldon UTIL Kamilla Cardoso,,,
123,5183888395,DeeBiggs (5/11),0,206.25,F Breanna Stewart F Alyssa Thomas F Jessica Shepard G Courtney Vandersloot G Marine Johannes UTIL Awak Kuier,,,
123,5184018727,tyro3333 (4/5),0,206.25,F Jessica Shepard F Azura Stevens F Awak Kuier G Paige Bueckers G Sabrina Ionescu UTIL Alanna Smith,,,
123,5184022619,Ocin_D_Clown (19/150),0,206.25,F Breanna Stewart F Jessica Shepard F Awak Kuier G Courtney Vandersloot G Marine Johannes UTIL Alyssa Thomas,,,
123,5184118109,smithcj16 (9/60),0,206.25,F Jessica Shepard F Jonquel Jones F Awak Kuier G Paige Bueckers G Valeriane Ayayi UTIL Marine Johannes,,,
123,5184219155,Draft53 (5/6),0,206.25,F Breanna Stewart F Alyssa Thomas F Jessica Shepard G Courtney Vandersloot G Marine Johannes UTIL Awak Kuier,,,
123,5184356188,wwatts12 (9/12),0,206.25,F Breanna Stewart F Jessica Shepard F Awak Kuier G Courtney Vandersloot G Marine Johannes UTIL Alyssa Thomas,,,
129,5184118123,smithcj16 (23/60),0,206,F Jessica Shepard F Kamilla Cardoso F Awak Kuier G Paige Bueckers G DeWanna Bonner UTIL Marine Johannes,,,
129,5184169420,jwclark311 (57/150),0,206,F Alyssa Thomas F Jessica Shepard F Awak Kuier G Kahleah Copper G Marine Johannes UTIL DeWanna Bonner,,,
129,5184173974,chrispy2005 (20/20),0,206,F Alyssa Thomas F Jessica Shepard F Awak Kuier G DeWanna Bonner G Marine Johannes UTIL Kahleah Copper,,,
129,5184285551,Wanna_Square_Up1567 (8/150),0,206,F Jessica Shepard F Kamilla Cardoso F Awak Kuier G Paige Bueckers G Marine Johannes UTIL DeWanna Bonner,,,
129,5184431955,michaelaedelstein (28/37),0,206,F Alyssa Thomas F Jessica Shepard F Awak Kuier G DeWanna Bonner G Marine Johannes UTIL Kahleah Copper,,,
129,5184534193,DraftToWin839 (11/17),0,206,F Alyssa Thomas F Jessica Shepard F Awak Kuier G Kahleah Copper G DeWanna Bonner UTIL Marine Johannes,,,
135,5183765464,TonyLodz (1/12),0,205.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G Azzi Fudd G Courtney Vandersloot UTIL Kahleah Copper,,,
135,5183765595,TonyLodz (2/12),0,205.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G Azzi Fudd G Courtney Vandersloot UTIL Kahleah Copper,,,
135,5183912667,DraftToWin839 (7/17),0,205.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G Azzi Fudd G Courtney Vandersloot UTIL Kahleah Copper,,,
135,5184049180,TheGoat1993502 (6/28),0,205.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G Kahleah Copper G Courtney Vandersloot UTIL Azzi Fudd,,,
135,5184127719,milligolf (18/150),0,205.75,F Jessica Shepard F Kamilla Cardoso F Awak Kuier G Paige Bueckers G Rebekah Gardner UTIL Sabrina Ionescu,,,
135,5184135895,ecglover8 (9/38),0,205.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G Azzi Fudd G Courtney Vandersloot UTIL Kahleah Copper,,,
