Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5184078157,Hey...HereWeGo1 (3/74),0,223.5,F Breanna Stewart F Jessica Shepard F Awak Kuier G Kahleah Copper G Rebekah Gardner UTIL Kamilla Cardoso,,Breanna Stewart,F,46.51%,47.25
1,5184284697,ivymoose (56/60),0,223.5,F Breanna Stewart F Jessica Shepard F Awak Kuier G Kahleah Copper G Rebekah Gardner UTIL Kamilla Cardoso,,Alyssa Thomas,F,44.63%,34.75
1,5184468811,DBrownFF88 (7/8),0,223.5,F Breanna Stewart F Jessica Shepard F Awak Kuier G Kahleah Copper G Rebekah Gardner UTIL Kamilla Cardoso,,Jonquel Jones,F,36.88%,40
4,5184263150,floydian80 (11/30),0,220.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G Kahleah Copper G Aicha Coulibaly UTIL Azura Stevens,,Pauline Astier,F,36.38%,7
5,5184409950,Bsaun32 (137/150),0,220.5,F Breanna Stewart F Jessica Shepard F Awak Kuier G Paige Bueckers G Rebekah Gardner UTIL DeWanna Bonner,,Jessica Shepard,F,28.96%,56
5,5184421876,Erbmusic (9/13),0,220.5,F Breanna Stewart F Jessica Shepard F Kamilla Cardoso G Natasha Cloud G Courtney Vandersloot UTIL Awak Kuier,,Kamilla Cardoso,F,28.15%,31.5
5,5184485079,slyguy717 (6/11),0,220.5,F Breanna Stewart F Jessica Shepard F Kamilla Cardoso G Natasha Cloud G Courtney Vandersloot UTIL Awak Kuier,,Paige Bueckers,G,23.68%,36.75
5,5184551809,jgudda6 (1/2),0,220.5,F Breanna Stewart F Jessica Shepard F Awak Kuier G Paige Bueckers G DeWanna Bonner UTIL Rebekah Gardner,,Courtney Vandersloot,G,21.56%,11.75
9,5184213211,Praww13 (2/2),0,220.25,F Jessica Shepard F Kamilla Cardoso F Awak Kuier G DeWanna Bonner G Natasha Cloud UTIL Kahleah Copper,,Sabrina Ionescu,G,21.25%,26.25
10,5183998853,CantGetRight69 (29/50),0,219.75,F Breanna Stewart F Jessica Shepard F Han Xu G Paige Bueckers G Natasha Cloud UTIL Awak Kuier,,Kahleah Copper,G,20.72%,33.5
10,5184263141,floydian80 (2/30),0,219.75,F Jessica Shepard F Jonquel Jones F Awak Kuier G DeWanna Bonner G Aicha Coulibaly UTIL Alyssa Thomas,,Awak Kuier,F,20.11%,44
12,5184459727,cellenberger8,0,219,F Breanna Stewart F Jessica Shepard F Awak Kuier G Paige Bueckers G Natasha Cloud UTIL Aziaha James,,Valeriane Ayayi,G,17.80%,17
13,5183936710,niquisition (31/82),0,218.5,F Breanna Stewart F Jessica Shepard F Awak Kuier G DeWanna Bonner G Marine Johannes UTIL Kahleah Copper,,Azzi Fudd,G,15.42%,20.5
13,5184078158,Hey...HereWeGo1 (4/74),0,218.5,F Breanna Stewart F Jessica Shepard F Awak Kuier G DeWanna Bonner G Rebekah Gardner UTIL Alyssa Thomas,,Elizabeth Williams,F,14.62%,9
13,5184169393,jwclark311 (30/150),0,218.5,F Breanna Stewart F Jessica Shepard F Awak Kuier G DeWanna Bonner G Rebekah Gardner UTIL Alyssa Thomas,,Azura Stevens,F,14.61%,27.5
13,5184320247,bonesjones88 (3/3),0,218.5,F Breanna Stewart F Jessica Shepard F Awak Kuier G DeWanna Bonner G Rebekah Gardner UTIL Alyssa Thomas,,Courtney Vandersloot,UTIL,13.92%,11.75
13,5184409926,Bsaun32 (113/150),0,218.5,F Breanna Stewart F Jessica Shepard F Awak Kuier G DeWanna Bonner G Rebekah Gardner UTIL Alyssa Thomas,,DeWanna Bonner,G,13.69%,25.25
13,5184420176,Rowdog31 (14/28),0,218.5,F Breanna Stewart F Jessica Shepard F Awak Kuier G DeWanna Bonner G Rebekah Gardner UTIL Alyssa Thomas,,Marine Johannes,G,13.30%,12.5
13,5184486488,Pmt1991 (5/6),0,218.5,F Jessica Shepard F Jonquel Jones F Kamilla Cardoso G Natasha Cloud G Valeriane Ayayi UTIL Awak Kuier,,Rebekah Gardner,G,12.62%,11.25
13,5184499711,ZeroGravitymusicmke (35/150),0,218.5,F Breanna Stewart F Jessica Shepard F Awak Kuier G DeWanna Bonner G Rebekah Gardner UTIL Alyssa Thomas,,Valeriane Ayayi,UTIL,11.44%,17
13,5184499780,ZeroGravitymusicmke (104/150),0,218.5,F Breanna Stewart F Jessica Shepard F Awak Kuier G DeWanna Bonner G Marine Johannes UTIL Kahleah Copper,,Alanna Smith,F,9.32%,15.75
22,5184284658,ivymoose (17/60),0,218.25,F Breanna Stewart F Jessica Shepard F Awak Kuier G Sabrina Ionescu G Rebekah Gardner UTIL Kahleah Copper,,Arike Ogunbowale,G,9.21%,12.25
22,5184365228,Hey...HereWeGo1 (74/74),0,218.25,F Breanna Stewart F Jessica Shepard F Awak Kuier G Sabrina Ionescu G Rebekah Gardner UTIL Kahleah Copper,,Noemie Brochant,F,8.87%,7.75
24,5184013342,11baller20 (7/20),0,218,F Breanna Stewart F Jessica Shepard F Awak Kuier G Paige Bueckers G Sydney Taylor UTIL Alanna Smith,,Kahleah Copper,UTIL,8.59%,33.5
25,5184509532,NATURALSHOOTER (11/36),0,217.25,F Breanna Stewart F Jessica Shepard F Azura Stevens G Natasha Cloud G Marine Johannes UTIL Awak Kuier,,Sydney Taylor,G,8.34%,18.25
26,5184409843,Bsaun32 (30/150),0,216.75,F Breanna Stewart F Awak Kuier F Alanna Smith G Paige Bueckers G Valeriane Ayayi UTIL Jessica Shepard,,Alyssa Thomas,UTIL,8.21%,34.75
27,5184508625,Esquibel_29 (12/13),0,216.25,F Jessica Shepard F Jonquel Jones F Awak Kuier G Kahleah Copper G Rebekah Gardner UTIL Kamilla Cardoso,,DeWanna Bonner,UTIL,7.98%,25.25
28,5183983763,Mr420Trey (1/4),0,216,F Breanna Stewart F Jessica Shepard F Jonquel Jones G Valeriane Ayayi G Courtney Vandersloot UTIL Awak Kuier,,Lexi Held,G,6.81%,5.75
28,5183995687,Thonaston (1/19),0,216,F Jessica Shepard F Jonquel Jones F Awak Kuier G Valeriane Ayayi G Courtney Vandersloot UTIL Breanna Stewart,,Natasha Cloud,G,6.10%,30
28,5183998845,CantGetRight69 (21/50),0,216,F Breanna Stewart F Jessica Shepard F Awak Kuier G Arike Ogunbowale G Aicha Coulibaly UTIL Paige Bueckers,,Sydney Taylor,UTIL,4.53%,18.25
28,5184013337,11baller20 (2/20),0,216,F Breanna Stewart F Jessica Shepard F Jonquel Jones G Valeriane Ayayi G Courtney Vandersloot UTIL Awak Kuier,,Lexi Held,UTIL,4.53%,5.75
28,5184105049,ForeverMarley (3/20),0,216,F Jessica Shepard F Jonquel Jones F Awak Kuier G Valeriane Ayayi G Courtney Vandersloot UTIL Breanna Stewart,,Kamilla Cardoso,UTIL,4.21%,31.5
28,5184105447,ckillerb84 (7/8),0,216,F Breanna Stewart F Jessica Shepard F Jonquel Jones G Valeriane Ayayi G Courtney Vandersloot UTIL Awak Kuier,,Han Xu,F,3.69%,5.75
28,5184129139,ForeverMarley (11/20),0,216,F Jessica Shepard F Jonquel Jones F Awak Kuier G Valeriane Ayayi G Courtney Vandersloot UTIL Breanna Stewart,,Maddy Siegrist,F,3.32%,0
