Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Rae Burrell (43596145),Rae Burrell,43596145,G/UTIL,6800,LAS@ATL 07/13/2026 07:00PM ET,LAS,19.86
SF/PF,Naz Hillmon (43596147),Naz Hillmon,43596147,F/UTIL,6600,LAS@ATL 07/13/2026 07:00PM ET,ATL,18.89
SF/PF,Cameron Brink (43596149),Cameron Brink,43596149,F/UTIL,6500,LAS@ATL 07/13/2026 07:00PM ET,LAS,19.64
PG/SG,Valeriane Ayayi (43596151),Valeriane Ayayi,43596151,G/UTIL,6400,PHX@MIN 07/13/2026 09:00PM ET,PHX,14.39
PG/SG,Lexi Held (43596153),Lexi Held,43596153,G/UTIL,6000,PHX@MIN 07/13/2026 09:00PM ET,PHX,10.70
SF/PF,Madina Okot (43596155),Madina Okot,43596155,F/UTIL,5600,LAS@ATL 07/13/2026 07:00PM ET,ATL,11.96
PG/SG,Monique Akoa Makani (43596157),Monique Akoa Makani,43596157,G/UTIL,5400,PHX@MIN 07/13/2026 09:00PM ET,PHX,18.88
SF/PF,Dorka Juhasz (43596159),Dorka Juhasz,43596159,F/UTIL,5200,PHX@MIN 07/13/2026 09:00PM ET,MIN,15.25
SF/PF,Noemie Brochant (43596161),Noemie Brochant,43596161,F/UTIL,5000,PHX@MIN 07/13/2026 09:00PM ET,PHX,14.23
PG/SG,Isobel Borlase (43596163),Isobel Borlase,43596163,G/UTIL,4400,LAS@ATL 07/13/2026 07:00PM ET,ATL,8.04
SF/PF,Emma Cannon (43596165),Emma Cannon,43596165,F/UTIL,4300,LAS@ATL 07/13/2026 07:00PM ET,LAS,8.12
PG/SG,Antonia Delaere (43596167),Antonia Delaere,43596167,G/UTIL,4200,PHX@MIN 07/13/2026 09:00PM ET,MIN,7.58
PG/SG,Maya Caldwell (43596169),Maya Caldwell,43596169,G/UTIL,4000,PHX@MIN 07/13/2026 09:00PM ET,MIN,10.85
PG/SG,Kiana Williams (43596171),Kiana Williams,43596171,G/UTIL,3800,LAS@ATL 07/13/2026 07:00PM ET,LAS,7.89
SF/PF,Jihyun Park (43596173),Jihyun Park,43596173,F/UTIL,3700,LAS@ATL 07/13/2026 07:00PM ET,LAS,5.31
SF/PF,Sika Kone (43596175),Sika Kone,43596175,F/UTIL,3600,LAS@ATL 07/13/2026 07:00PM ET,ATL,4.30
PG/SG,Kate Martin (43596177),Kate Martin,43596177,G/UTIL,3500,LAS@ATL 07/13/2026 07:00PM ET,LAS,6.12
SF/PF,Marta Suarez (43596179),Marta Suarez,43596179,F/UTIL,3400,PHX@MIN 07/13/2026 09:00PM ET,PHX,6.44
PG/SG,Eliska Hamzova (43596181),Eliska Hamzova,43596181,G/UTIL,3400,PHX@MIN 07/13/2026 09:00PM ET,MIN,6.28
PG/SG,Chance Gray (43596185),Chance Gray,43596185,G/UTIL,3300,LAS@ATL 07/13/2026 07:00PM ET,LAS,5.92
PG/SG,Te-Hina Paopao (43596187),Te-Hina Paopao,43596187,G/UTIL,3300,LAS@ATL 07/13/2026 07:00PM ET,ATL,8.24
PG/SG,Sami Whitcomb (43596183),Sami Whitcomb,43596183,G/UTIL,3300,PHX@MIN 07/13/2026 09:00PM ET,PHX,10.62
SF/PF,Liatu King (43596189),Liatu King,43596189,F/UTIL,3200,PHX@MIN 07/13/2026 09:00PM ET,MIN,9.32
SF/PF,Anastasiia Olairi Kosu (43596191),Anastasiia Olairi Kosu,43596191,F/UTIL,3200,PHX@MIN 07/13/2026 09:00PM ET,MIN,9.83
SF/PF,Kyara Linskens (43596193),Kyara Linskens,43596193,F/UTIL,3100,PHX@MIN 07/13/2026 09:00PM ET,PHX,9.28
SF/PF,Alissa Pili (43596197),Alissa Pili,43596197,F/UTIL,3000,LAS@ATL 07/13/2026 07:00PM ET,LAS,6.62
PG/SG,Aaliyah Nye (43596201),Aaliyah Nye,43596201,G/UTIL,3000,LAS@ATL 07/13/2026 07:00PM ET,ATL,0.67
PG/SG,Indya Nivar (43596205),Indya Nivar,43596205,G/UTIL,3000,LAS@ATL 07/13/2026 07:00PM ET,ATL,3.09
PG/SG,Jaylyn Sherrod (43596207),Jaylyn Sherrod,43596207,G/UTIL,3000,LAS@ATL 07/13/2026 07:00PM ET,ATL,0
PG/SG,Shatori Walker-Kimbrough (43596209),Shatori Walker-Kimbrough,43596209,G/UTIL,3000,LAS@ATL 07/13/2026 07:00PM ET,ATL,-0.25
SF/PF,Emma Cechova (43596195),Emma Cechova,43596195,F/UTIL,3000,PHX@MIN 07/13/2026 09:00PM ET,MIN,14.25
PG/SG,Quionche Carter (43596199),Quionche Carter,43596199,G/UTIL,3000,PHX@MIN 07/13/2026 09:00PM ET,PHX,3.52
PG/SG,Shay Ciezki (43596203),Shay Ciezki,43596203,G/UTIL,3000,PHX@MIN 07/13/2026 09:00PM ET,PHX,3.12
