Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Nneka Ogwumike (43596105),Nneka Ogwumike,43596105,F/UTIL,11400,LAS@ATL 07/13/2026 07:00PM ET,LAS,35.58
SF/PF,Angel Reese (43596107),Angel Reese,43596107,F/UTIL,11300,LAS@ATL 07/13/2026 07:00PM ET,ATL,37.30
PG/SG,Kelsey Plum (43596109),Kelsey Plum,43596109,G/UTIL,10900,LAS@ATL 07/13/2026 07:00PM ET,LAS,38.46
SF/PF,Alyssa Thomas (43596111),Alyssa Thomas,43596111,F/UTIL,10800,PHX@MIN 07/13/2026 09:00PM ET,PHX,36.89
SF/PF,Napheesa Collier (43596113),Napheesa Collier,43596113,F/UTIL,10300,PHX@MIN 07/13/2026 09:00PM ET,MIN,0
PG/SG,Olivia Miles (43596115),Olivia Miles,43596115,G/UTIL,10200,PHX@MIN 07/13/2026 09:00PM ET,MIN,36.37
SF/PF,Natasha Howard (43596117),Natasha Howard,43596117,F/UTIL,10000,PHX@MIN 07/13/2026 09:00PM ET,MIN,35.30
SF/PF,Dearica Hamby (43596119),Dearica Hamby,43596119,F/UTIL,9900,LAS@ATL 07/13/2026 07:00PM ET,LAS,31.07
PG/SG,Rhyne Howard (43596121),Rhyne Howard,43596121,G/UTIL,9600,LAS@ATL 07/13/2026 07:00PM ET,ATL,35.73
PG/SG,Kayla McBride (43596123),Kayla McBride,43596123,G/UTIL,9400,PHX@MIN 07/13/2026 09:00PM ET,MIN,28.71
PG/SG,Courtney Williams (43596125),Courtney Williams,43596125,G/UTIL,9200,PHX@MIN 07/13/2026 09:00PM ET,MIN,32.12
PG/SG,Jordin Canada (43596127),Jordin Canada,43596127,G/UTIL,8800,LAS@ATL 07/13/2026 07:00PM ET,ATL,31.20
PG/SG,Allisha Gray (43596129),Allisha Gray,43596129,G/UTIL,8600,LAS@ATL 07/13/2026 07:00PM ET,ATL,29.89
PG/SG,Kahleah Copper (43596131),Kahleah Copper,43596131,G/UTIL,8500,PHX@MIN 07/13/2026 09:00PM ET,PHX,28.95
SF/PF,Nia Coffey (43596133),Nia Coffey,43596133,F/UTIL,7800,PHX@MIN 07/13/2026 09:00PM ET,MIN,24.12
SF/PF,Natasha Mack (43596135),Natasha Mack,43596135,F/UTIL,7600,PHX@MIN 07/13/2026 09:00PM ET,PHX,26.10
PG/SG,DeWanna Bonner (43596137),DeWanna Bonner,43596137,G/UTIL,7400,PHX@MIN 07/13/2026 09:00PM ET,PHX,20.79
PG/SG,Erica Wheeler (43596139),Erica Wheeler,43596139,G/UTIL,7200,LAS@ATL 07/13/2026 07:00PM ET,LAS,19.66
PG/SG,Ariel Atkins (43596141),Ariel Atkins,43596141,G/UTIL,7000,LAS@ATL 07/13/2026 07:00PM ET,LAS,19.47
SF/PF,Brionna Jones (43596143),Brionna Jones,43596143,F/UTIL,6900,LAS@ATL 07/13/2026 07:00PM ET,ATL,0
