Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5185251641,UltimateWin4 (48/150),0,226.75,F Dearica Hamby F Janelle Salaun F Kayla Thornton G Kayla McBride G Rae Burrell UTIL Nneka Ogwumike,,Courtney Williams,G,41.95%,29
2,5185039619,smithcj16 (47/50),0,223.75,F Nneka Ogwumike F Janelle Salaun F Kayla Thornton G Kelsey Mitchell G Kayla McBride UTIL Erica Wheeler,,Olivia Nelson-Ododa,F,37.10%,26.25
3,5185251649,UltimateWin4 (56/150),0,216,F Isabelle Harrison F Kayla Thornton F Diamond Miller G Kelsey Mitchell G Kayla McBride UTIL Dearica Hamby,,Kayla McBride,G,29.06%,41
4,5185246336,seth1374 (9/137),0,214,F Dearica Hamby F Dorka Juhasz F Makayla Timpson G Kelsey Mitchell G Kayla McBride UTIL Nneka Ogwumike,,Natasha Howard,F,27.43%,35.5
5,5185251615,UltimateWin4 (22/150),0,213.5,F Dearica Hamby F Kayla Thornton F Anastasiia Olairi Kosu G Kelsey Mitchell G Kayla McBride UTIL Nneka Ogwumike,,Myisha Hines-Allen,F,22.79%,6.5
6,5185237364,ruff_endz14 (130/150),0,213.25,F Nneka Ogwumike F Kayla Thornton F Makayla Timpson G Kelsey Mitchell G Leila Lacan UTIL Dearica Hamby,,Marina Mabrey,G,22.18%,24
6,5185238259,mikey11722 (2/2),0,213.25,F Nneka Ogwumike F Kayla Thornton F Makayla Timpson G Kelsey Mitchell G Leila Lacan UTIL Dearica Hamby,,Dearica Hamby,F,21.24%,41.75
8,5185192613,SGT_Moe (38/49),0,213,F Dearica Hamby F Isabelle Harrison F Dorka Juhasz G Kelsey Mitchell G Rae Burrell UTIL Leila Lacan,,Nneka Ogwumike,F,18.63%,42
9,5185104089,Wanna_Square_Up1567 (89/150),0,211.75,F Natasha Howard F Janelle Salaun F Dorka Juhasz G Kelsey Mitchell G Erica Wheeler UTIL Dearica Hamby,,Monique Billings,F,18.17%,26.5
10,5184891490,floydian80 (6/30),0,211.25,F Nneka Ogwumike F Monique Billings F Dorka Juhasz G Kayla McBride G Rae Burrell UTIL Kelsey Mitchell,,Aaliyah Edwards,F,17.41%,6.5
10,5185010082,oltjpack (24/27),0,211.25,F Nneka Ogwumike F Monique Billings F Dorka Juhasz G Kayla McBride G Rae Burrell UTIL Kelsey Mitchell,,Dorka Juhasz,F,16.99%,24.5
10,5185108312,Bsaun32 (47/150),0,211.25,F Nneka Ogwumike F Monique Billings F Dorka Juhasz G Kelsey Mitchell G Kayla McBride UTIL Rae Burrell,,Kelsey Mitchell,G,15.88%,44
10,5185192589,SGT_Moe (14/49),0,211.25,F Nneka Ogwumike F Monique Billings F Dorka Juhasz G Kayla McBride G Rae Burrell UTIL Kelsey Mitchell,,Gabby Williams,F,15.60%,12.75
10,5185246358,seth1374 (31/137),0,211.25,F Nneka Ogwumike F Monique Billings F Dorka Juhasz G Kayla McBride G Rae Burrell UTIL Kelsey Mitchell,,Caitlin Clark,G,15.41%,19
10,5185251658,UltimateWin4 (65/150),0,211.25,F Dearica Hamby F Isabelle Harrison F Kayla Thornton G Rae Burrell G Erica Wheeler UTIL Nneka Ogwumike,,Nyara Sabally,F,15.14%,4.25
16,5185010077,oltjpack (19/27),0,210.75,F Dearica Hamby F Olivia Nelson-Ododa F Dorka Juhasz G Kayla McBride G Rae Burrell UTIL Kelsey Mitchell,,Kiah Stokes,F,14.72%,4.75
16,5185076332,jamesdon14 (83/150),0,210.75,F Dearica Hamby F Olivia Nelson-Ododa F Dorka Juhasz G Kelsey Mitchell G Kayla McBride UTIL Rae Burrell,,Nia Coffey,F,14.26%,3.75
16,5185251597,UltimateWin4 (4/150),0,210.75,F Isabelle Harrison F Olivia Nelson-Ododa F Kayla Thornton G Kelsey Mitchell G Kayla McBride UTIL Rae Burrell,,Leila Lacan,G,13.88%,34
16,5185256552,ljb33bc102 (68/101),0,210.75,F Dearica Hamby F Olivia Nelson-Ododa F Dorka Juhasz G Kayla McBride G Rae Burrell UTIL Kelsey Mitchell,,Isabelle Harrison,F,12.13%,35.5
20,5185016727,abbdogg (7/19),0,210,F Dearica Hamby F Olivia Nelson-Ododa F Janelle Salaun G Kelsey Mitchell G Rae Burrell UTIL Julie Allemand,,Veronica Burton,G,10.18%,21.5
