Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Jessica Shepard (43571216),Jessica Shepard,43571216,F/UTIL,11500,DAL@TOR 07/10/2026 07:30PM ET,DAL,38.70
SF/PF,Nneka Ogwumike (43571218),Nneka Ogwumike,43571218,F/UTIL,11100,CHI@LAS 07/10/2026 10:00PM ET,LAS,34.63
PG/SG,Paige Bueckers (43571220),Paige Bueckers,43571220,G/UTIL,11000,DAL@TOR 07/10/2026 07:30PM ET,DAL,36.34
PG/SG,Kelsey Plum (43571222),Kelsey Plum,43571222,G/UTIL,10900,CHI@LAS 07/10/2026 10:00PM ET,LAS,38.46
SF/PF,Brittney Griner (43571224),Brittney Griner,43571224,F/UTIL,10500,GSV@CON 07/10/2026 07:30PM ET,CON,28.21
PG/SG,Marina Mabrey (43571226),Marina Mabrey,43571226,G/UTIL,10200,DAL@TOR 07/10/2026 07:30PM ET,TOR,33.95
SF/PF,Dearica Hamby (43571228),Dearica Hamby,43571228,F/UTIL,10000,CHI@LAS 07/10/2026 10:00PM ET,LAS,30.71
SF/PF,Kamilla Cardoso (43571230),Kamilla Cardoso,43571230,F/UTIL,9900,CHI@LAS 07/10/2026 10:00PM ET,CHI,32.87
PG/SG,Brittney Sykes (43571232),Brittney Sykes,43571232,G/UTIL,9700,DAL@TOR 07/10/2026 07:30PM ET,TOR,32.98
PG/SG,Veronica Burton (43571234),Veronica Burton,43571234,G/UTIL,9500,GSV@CON 07/10/2026 07:30PM ET,GSV,27.53
SF/PF,Isabelle Harrison (43571236),Isabelle Harrison,43571236,F/UTIL,9400,DAL@TOR 07/10/2026 07:30PM ET,TOR,27.64
PG/SG,Leila Lacan (43571238),Leila Lacan,43571238,G/UTIL,9200,GSV@CON 07/10/2026 07:30PM ET,CON,25.83
SF/PF,Azura Stevens (43571240),Azura Stevens,43571240,F/UTIL,9000,CHI@LAS 07/10/2026 10:00PM ET,CHI,24.31
