Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
35,5185600699,Ocin_D_Clown (37/150),0,212.5,F A'ja Wilson F Alyssa Thomas F Jordan Horston G Jackie Young G Raven Johnson UTIL Tyasha Harris,,Carla Leite,UTIL,4.78%,21.75
35,5185688511,Hey...HereWeGo1 (16/150),0,212.5,F A'ja Wilson F Awa Fam F Frieda Buhner G Jordin Canada G Tyasha Harris UTIL Kelsey Mitchell,,Jackie Young,UTIL,4.60%,50
35,5185773179,Wanna_Square_Up1567 (47/150),0,212.5,F A'ja Wilson F Alyssa Thomas F Makayla Timpson G Kelsey Mitchell G Tyasha Harris UTIL Valeriane Ayayi,,Jade Melbourne,G,4.53%,13.5
35,5186036628,Mathis (118/150),0,212.5,F A'ja Wilson F Alyssa Thomas F Makayla Timpson G Kelsey Mitchell G Tyasha Harris UTIL Valeriane Ayayi,,Kelsey Mitchell,UTIL,4.27%,53
35,5186036651,Mathis (141/150),0,212.5,F A'ja Wilson F Alyssa Thomas F Jordan Horston G Jackie Young G Tyasha Harris UTIL Raven Johnson,,Chelsea Gray,UTIL,4.25%,25.25
35,5186070024,bonesjones88 (7/8),0,212.5,F A'ja Wilson F Alyssa Thomas F Makayla Timpson G Kelsey Mitchell G Valeriane Ayayi UTIL Tyasha Harris,,Stephanie Talbot,F,4.24%,5.5
35,5186089579,disturbedspooon (12/13),0,212.5,F A'ja Wilson F Alyssa Thomas F Makayla Timpson G Kelsey Mitchell G Valeriane Ayayi UTIL Tyasha Harris,,Madina Okot,F,4.10%,13.5
44,5186013856,llllllllllllllllIll (72/150),0,212.25,F A'ja Wilson F Naz Hillmon F Madina Okot G Rhyne Howard G Tyasha Harris UTIL Kelsey Mitchell,,Raven Johnson,UTIL,4.05%,17
45,5185532363,ruff_endz14 (14/150),0,212,F A'ja Wilson F Megan Gustafson F Makayla Timpson G Jackie Young G Jordin Canada UTIL Tyasha Harris,,Cheyenne Parker-Tyus,F,3.92%,-1
46,5185996268,gmorp123nice (3/4),0,211.5,F Angel Reese F Dominique Malonga F Madina Okot G Jordin Canada G Tyasha Harris UTIL Kelsey Mitchell,,Natisha Hiedeman,G,3.75%,30.25
46,5185999641,gmorp123nice (4/4),0,211.5,F Angel Reese F Dominique Malonga F Madina Okot G Jordin Canada G Tyasha Harris UTIL Kelsey Mitchell,,DeWanna Bonner,UTIL,3.58%,22.75
48,5186013828,llllllllllllllllIll (44/150),0,211.25,F A'ja Wilson F Alyssa Thomas F Kierstan Bell G Jordin Canada G DeWanna Bonner UTIL Tyasha Harris,,Lexie Hull,UTIL,3.45%,11
49,5185600744,Ocin_D_Clown (82/150),0,211,F A'ja Wilson F Alyssa Thomas F Naz Hillmon G Jordin Canada G Raven Johnson UTIL Tyasha Harris,,Sami Whitcomb,G,3.11%,10
49,5185663561,milligolf (121/150),0,211,F A'ja Wilson F Alyssa Thomas F Naz Hillmon G Jordin Canada G Tyasha Harris UTIL Raven Johnson,,Aliyah Boston,UTIL,3.05%,37.25
49,5186074269,marcusaurelius25 (20/150),0,211,F A'ja Wilson F Alyssa Thomas F Naz Hillmon G Jordin Canada G Raven Johnson UTIL Tyasha Harris,,Kahleah Copper,UTIL,2.83%,34.25
52,5185559532,DrNickIsIn (6/10),0,210.75,F Angel Reese F Dominique Malonga F Jordan Horston G Kelsey Mitchell G Jordin Canada UTIL Tyasha Harris,,Jade Melbourne,UTIL,2.66%,13.5
53,5186013872,llllllllllllllllIll (88/150),0,210.5,F Dominique Malonga F Bridget Carleton F Emily Engstler G Kelsey Mitchell G Jordin Canada UTIL Tyasha Harris,,Sarah Ashlee Barker,G,2.61%,22
53,5186036607,Mathis (97/150),0,210.5,F A'ja Wilson F Bridget Carleton F Kierstan Bell G Allisha Gray G Tyasha Harris UTIL Jackie Young,,Sophie Cunningham,G,2.55%,16.5
55,5185749385,jwclark311 (101/150),0,210.25,F A'ja Wilson F Makayla Timpson F Kierstan Bell G Jordin Canada G Allisha Gray UTIL Jackie Young,,Ezi Magbegor,F,2.29%,7.75
55,5185986745,ataribravo (24/150),0,210.25,F A'ja Wilson F Alyssa Thomas F Madina Okot G Lexie Hull G Tyasha Harris UTIL Kelsey Mitchell,,Frieda Buhner,UTIL,2.28%,9.75
55,5186039385,FULHAMERICA_FC (17/18),0,210.25,F A'ja Wilson F Alyssa Thomas F Nyadiew Puoch G Kelsey Mitchell G Tyasha Harris UTIL Valeriane Ayayi,,Allisha Gray,UTIL,2.20%,36.25
58,5185346434,txvirgo70 (2/2),0,210,F Angel Reese F Emily Engstler F Frieda Buhner G Jackie Young G Kelsey Mitchell UTIL Tyasha Harris,,Rhyne Howard,UTIL,2.16%,39.5
58,5185688579,Hey...HereWeGo1 (84/150),0,210,F Angel Reese F Emily Engstler F Frieda Buhner G Jackie Young G Kelsey Mitchell UTIL Tyasha Harris,,Sami Whitcomb,UTIL,2.11%,10
58,5185749310,jwclark311 (26/150),0,210,F Aliyah Boston F Emily Engstler F Naz Hillmon G Kelsey Mitchell G Jordin Canada UTIL Tyasha Harris,,A'ja Wilson,UTIL,1.79%,58.5
61,5185692043,jakieroy (6/7),0,209.75,F A'ja Wilson F Emily Engstler F Stephanie Talbot G Kahleah Copper G Tyasha Harris UTIL Kelsey Mitchell,,Alyssa Thomas,UTIL,1.75%,43.5
61,5185725958,wombraider1,0,209.75,F A'ja Wilson F Bridget Carleton F Makayla Timpson G Kelsey Mitchell G Kahleah Copper UTIL Tyasha Harris,,Jordin Canada,UTIL,1.65%,44.25
61,5185961351,mrclean913 (15/20),0,209.75,F Angel Reese F Emily Engstler F Frieda Buhner G Jordin Canada G Tyasha Harris UTIL A'ja Wilson,,Damiris Dantas,F,1.60%,0
61,5186036595,Mathis (85/150),0,209.75,F A'ja Wilson F Bridget Carleton F Makayla Timpson G Kelsey Mitchell G Tyasha Harris UTIL Kahleah Copper,,Katie Lou Samuelson,F,1.56%,3
65,5185434198,niquisition (30/71),0,209.5,F Alyssa Thomas F NaLyssa Smith F Makayla Timpson G Jackie Young G Tyasha Harris UTIL Kelsey Mitchell,,Flau'Jae Johnson,UTIL,1.49%,28.5
65,5185509636,branklyng (1/2),0,209.5,F Aliyah Boston F Angel Reese F Marta Suarez G Kelsey Mitchell G Allisha Gray UTIL Tyasha Harris,,Sarah Ashlee Barker,UTIL,1.37%,22
65,5185749410,jwclark311 (126/150),0,209.5,F Alyssa Thomas F NaLyssa Smith F Makayla Timpson G Kelsey Mitchell G Tyasha Harris UTIL Jackie Young,,Nyadiew Puoch,F,1.22%,7.5
65,5185791552,whoisjohngalt420 (10/20),0,209.5,F Alyssa Thomas F NaLyssa Smith F Makayla Timpson G Jackie Young G Kelsey Mitchell UTIL Tyasha Harris,,Sophie Cunningham,UTIL,1.21%,16.5
65,5185932322,Wood334 (2/10),0,209.5,F A'ja Wilson F Alyssa Thomas F Frieda Buhner G Jackie Young G Raven Johnson UTIL Tyasha Harris,,Bridget Carleton,UTIL,1.21%,23.5
65,5186036568,Mathis (58/150),0,209.5,F A'ja Wilson F Alyssa Thomas F Makayla Timpson G Jordin Canada G Tyasha Harris UTIL DeWanna Bonner,,Stefanie Dolson,F,1.08%,9
71,5185600774,Ocin_D_Clown (112/150),0,209.25,F A'ja Wilson F Bridget Carleton F Jordan Horston G Rhyne Howard G Jordin Canada UTIL Tyasha Harris,,Kierstan Bell,F,0.98%,11.5
71,5185773216,Wanna_Square_Up1567 (84/150),0,209.25,F A'ja Wilson F Bridget Carleton F Jordan Horston G Rhyne Howard G Jordin Canada UTIL Tyasha Harris,,Emily Engstler,UTIL,0.95%,27.75
73,5185773255,Wanna_Square_Up1567 (123/150),0,209,F A'ja Wilson F Alyssa Thomas F Frieda Buhner G Jackie Young G Tyasha Harris UTIL Sophie Cunningham,,Awa Fam,UTIL,0.89%,16.25
74,5185685866,soonerdallas (40/54),0,208.5,F A'ja Wilson F Alyssa Thomas F Amy Okonkwo G DeWanna Bonner G Tyasha Harris UTIL Kelsey Mitchell,,Monique Billings,UTIL,0.77%,4
74,5186042871,sharkdaddy2234 (2/2),0,208.5,F Aliyah Boston F Emily Engstler F Frieda Buhner G Jackie Young G Kelsey Mitchell UTIL Tyasha Harris,,Teja Oblak,G,0.68%,19.75
76,5185600691,Ocin_D_Clown (29/150),0,208.25,F Alyssa Thomas F Emily Engstler F Naz Hillmon G Allisha Gray G Tyasha Harris UTIL Kelsey Mitchell,,Makayla Timpson,UTIL,0.65%,9.75
76,5186011356,lkdogg (6/7),0,208.25,F A'ja Wilson F Aliyah Boston F Emily Engstler G Jordin Canada G Tyasha Harris UTIL Makayla Timpson,,Angel Reese,UTIL,0.64%,38.75
76,5186013890,llllllllllllllllIll (106/150),0,208.25,F Alyssa Thomas F Bridget Carleton F Nyadiew Puoch G Jackie Young G Kelsey Mitchell UTIL Tyasha Harris,,Monique Akoa Makani,UTIL,0.64%,18
79,5185600743,Ocin_D_Clown (81/150),0,207.75,F A'ja Wilson F Angel Reese F Frieda Buhner G Kelsey Mitchell G Tyasha Harris UTIL Valeriane Ayayi,,Sika Kone,F,0.64%,-0.5
79,5185625508,bellsofwar3 (7/60),0,207.75,F A'ja Wilson F Angel Reese F Frieda Buhner G Kelsey Mitchell G Valeriane Ayayi UTIL Tyasha Harris,,Brianna Turner,F,0.61%,9.25
79,5185642402,jusnit (50/50),0,207.75,F A'ja Wilson F Angel Reese F Frieda Buhner G Valeriane Ayayi G Tyasha Harris UTIL Kelsey Mitchell,,Monique Akoa Makani,G,0.60%,18
79,5185664635,dbaggot3 (15/52),0,207.75,F A'ja Wilson F Angel Reese F Frieda Buhner G Kelsey Mitchell G Valeriane Ayayi UTIL Tyasha Harris,,Myisha Hines-Allen,UTIL,0.59%,2.25
79,5185685827,soonerdallas (1/54),0,207.75,F A'ja Wilson F Angel Reese F Frieda Buhner G Valeriane Ayayi G Tyasha Harris UTIL Kelsey Mitchell,,NaLyssa Smith,UTIL,0.57%,22.5
79,5185749384,jwclark311 (100/150),0,207.75,F A'ja Wilson F Angel Reese F Jordan Horston G Jackie Young G Tyasha Harris UTIL Raven Johnson,,Noemie Brochant,UTIL,0.55%,2.75
79,5185749392,jwclark311 (108/150),0,207.75,F A'ja Wilson F Angel Reese F Frieda Buhner G Kelsey Mitchell G Tyasha Harris UTIL Valeriane Ayayi,,Stephanie Talbot,UTIL,0.52%,5.5
79,5185861066,Thirst22 (3/5),0,207.75,F A'ja Wilson F Angel Reese F Frieda Buhner G Kelsey Mitchell G Tyasha Harris UTIL Valeriane Ayayi,,Zia Cooke,G,0.51%,10
79,5185955303,mattels1991,0,207.75,F A'ja Wilson F Angel Reese F Frieda Buhner G Valeriane Ayayi G Tyasha Harris UTIL Kelsey Mitchell,,Isobel Borlase,G,0.51%,6.5
79,5185972654,sirjerkins (43/150),0,207.75,F A'ja Wilson F Angel Reese F Frieda Buhner G Kelsey Mitchell G Tyasha Harris UTIL Valeriane Ayayi,,Naz Hillmon,UTIL,0.48%,17
79,5185972719,sirjerkins (108/150),0,207.75,F A'ja Wilson F Angel Reese F Naz Hillmon G Kelsey Mitchell G Tyasha Harris UTIL Frieda Buhner,,Isobel Borlase,UTIL,0.48%,6.5
79,5185975045,TaiD (1/2),0,207.75,F A'ja Wilson F Angel Reese F Frieda Buhner G Kelsey Mitchell G Tyasha Harris UTIL Valeriane Ayayi,,Lexi Held,G,0.48%,5.5
79,5185986449,ataribravo (1/150),0,207.75,F A'ja Wilson F Angel Reese F Frieda Buhner G Kelsey Mitchell G Tyasha Harris UTIL Valeriane Ayayi,,Serah Williams,UTIL,0.47%,3
79,5186068573,PokerChump (1/10),0,207.75,F A'ja Wilson F Angel Reese F Frieda Buhner G Kelsey Mitchell G Tyasha Harris UTIL Valeriane Ayayi,,Lexi Held,UTIL,0.46%,5.5
93,5185986748,ataribravo (27/150),0,207.5,F A'ja Wilson F Alyssa Thomas F Madina Okot G Jordin Canada G Valeriane Ayayi UTIL Tyasha Harris,,Jordan Horston,UTIL,0.46%,12.75
94,5185434176,niquisition (8/71),0,207.25,F A'ja Wilson F Emily Engstler F Kierstan Bell G Rhyne Howard G Kelsey Mitchell UTIL Raven Johnson,,Megan Gustafson,UTIL,0.43%,18.75
94,5185600784,Ocin_D_Clown (122/150),0,207.25,F A'ja Wilson F Dominique Malonga F Serah Williams G Rhyne Howard G Jordin Canada UTIL Tyasha Harris,,Natisha Hiedeman,UTIL,0.35%,30.25
94,5185749409,jwclark311 (125/150),0,207.25,F A'ja Wilson F Dominique Malonga F Serah Williams G Rhyne Howard G Jordin Canada UTIL Tyasha Harris,,Kyara Linskens,F,0.35%,0
94,5185773181,Wanna_Square_Up1567 (49/150),0,207.25,F A'ja Wilson F Alyssa Thomas F Frieda Buhner G Kelsey Mitchell G Tyasha Harris UTIL Jewell Loyd,,Cheyenne Parker-Tyus,UTIL,0.34%,-1
94,5185796146,ecglover8 (13/21),0,207.25,F A'ja Wilson F Alyssa Thomas F Nyadiew Puoch G Jordin Canada G DeWanna Bonner UTIL Tyasha Harris,,Teja Oblak,UTIL,0.30%,19.75
94,5185803735,chrispy2005 (3/20),0,207.25,F A'ja Wilson F Dominique Malonga F Serah Williams G Rhyne Howard G Jordin Canada UTIL Tyasha Harris,,Madina Okot,UTIL,0.29%,13.5
94,5185972682,sirjerkins (71/150),0,207.25,F A'ja Wilson F Alyssa Thomas F Frieda Buhner G Kelsey Mitchell G Jewell Loyd UTIL Tyasha Harris,,Katie Lou Samuelson,UTIL,0.29%,3
94,5186036633,Mathis (123/150),0,207.25,F A'ja Wilson F Dominique Malonga F Serah Williams G Rhyne Howard G Jordin Canada UTIL Tyasha Harris,,Amy Okonkwo,F,0.29%,0
94,5186057119,DBrownFF88 (4/20),0,207.25,F A'ja Wilson F Alyssa Thomas F Frieda Buhner G Jewell Loyd G Tyasha Harris UTIL Kelsey Mitchell,,Dominique Malonga,UTIL,0.23%,31.25
103,5185986844,ataribravo (123/150),0,207,F A'ja Wilson F Awa Fam F Stefanie Dolson G Rhyne Howard G Tyasha Harris UTIL Kelsey Mitchell,,Nyadiew Puoch,UTIL,0.23%,7.5
103,5186061752,bossesays (1/6),0,207,F A'ja Wilson F Megan Gustafson F Frieda Buhner G Allisha Gray G Tyasha Harris UTIL Kelsey Mitchell,,Damiris Dantas,UTIL,0.21%,0
105,5185600740,Ocin_D_Clown (78/150),0,206.75,F A'ja Wilson F Angel Reese F Serah Williams G Kelsey Mitchell G DeWanna Bonner UTIL Tyasha Harris,,Ezi Magbegor,UTIL,0.18%,7.75
105,5185915670,kushman999 (12/14),0,206.75,F A'ja Wilson F Alyssa Thomas F Jordan Horston G Jordin Canada G Valeriane Ayayi UTIL Tyasha Harris,,Luisa Geiselsoder,F,0.18%,4.75
107,5185532439,ruff_endz14 (90/150),0,206.5,F A'ja Wilson F Emily Engstler F Frieda Buhner G Allisha Gray G Tyasha Harris UTIL Alyssa Thomas,,Marta Suarez,F,0.17%,13.5
107,5185663470,milligolf (30/150),0,206.5,F A'ja Wilson F NaLyssa Smith F Emily Engstler G Jackie Young G Raven Johnson UTIL Tyasha Harris,,Brianna Turner,UTIL,0.13%,9.25
107,5185972666,sirjerkins (55/150),0,206.5,F A'ja Wilson F Emily Engstler F Frieda Buhner G Allisha Gray G Tyasha Harris UTIL Alyssa Thomas,,Kyara Linskens,UTIL,0.12%,0
107,5186058541,juicemans,0,206.5,F Alyssa Thomas F Angel Reese F Jordan Horston G Kelsey Mitchell G Tyasha Harris UTIL Emily Engstler,,Luisa Geiselsoder,UTIL,0.12%,4.75
111,5185493875,bayesiantestsystem,0,206.25,F A'ja Wilson F Frieda Buhner F Brianna Turner G Rhyne Howard G Kelsey Mitchell UTIL Allisha Gray,,Marta Suarez,UTIL,0.12%,13.5
111,5185532459,ruff_endz14 (110/150),0,206.25,F A'ja Wilson F Bridget Carleton F Makayla Timpson G Rhyne Howard G Jordin Canada UTIL Tyasha Harris,,Zia Cooke,UTIL,0.10%,10
111,5185663552,milligolf (112/150),0,206.25,F A'ja Wilson F Angel Reese F Naz Hillmon G Jordin Canada G Raven Johnson UTIL Tyasha Harris,,Kierstan Bell,UTIL,0.08%,11.5
111,5185664664,dbaggot3 (44/52),0,206.25,F A'ja Wilson F Aliyah Boston F Jordan Horston G Jackie Young G Raven Johnson UTIL Tyasha Harris,,Stefanie Dolson,UTIL,0.08%,9
111,5185749344,jwclark311 (60/150),0,206.25,F A'ja Wilson F Bridget Carleton F Frieda Buhner G Rhyne Howard G Jordin Canada UTIL Tyasha Harris,,Te-Hina Paopao,UTIL,0.07%,0
111,5186039165,bellsofwar3 (55/60),0,206.25,F A'ja Wilson F Aliyah Boston F Makayla Timpson G Kelsey Mitchell G Tyasha Harris UTIL Valeriane Ayayi,,Caitlin Clark,G,0.05%,0
111,5186039166,bellsofwar3 (56/60),0,206.25,F A'ja Wilson F Aliyah Boston F Makayla Timpson G Valeriane Ayayi G Tyasha Harris UTIL Kelsey Mitchell,,Sika Kone,UTIL,0.05%,-0.5
111,5186059833,alexcaliwin95 (5/5),0,206.25,F A'ja Wilson F Aliyah Boston F Makayla Timpson G Kelsey Mitchell G Tyasha Harris UTIL Valeriane Ayayi,,Karlie Samuelson,G,0.03%,0
119,5185685880,soonerdallas (54/54),0,206,F A'ja Wilson F Alyssa Thomas F Luisa Geiselsoder G Kelsey Mitchell G Allisha Gray UTIL Sami Whitcomb,,Holly Winterburn,G,0.03%,3.5
119,5185991884,Bsaun32 (111/150),0,206,F A'ja Wilson F Alyssa Thomas F Marta Suarez G Jordin Canada G Allisha Gray UTIL Sami Whitcomb,,Grace VanSlooten,F,0.03%,0
119,5186035842,FULHAMERICA_FC (8/18),0,206,F A'ja Wilson F Dominique Malonga F Frieda Buhner G Kelsey Mitchell G DeWanna Bonner UTIL Tyasha Harris,,Mackenzie Holmes,F,0.01%,0
122,5185434210,niquisition (42/71),0,205.75,F Angel Reese F Emily Engstler F Stephanie Talbot G Jackie Young G Tyasha Harris UTIL Kelsey Mitchell,,Bree Hall,UTIL,0.01%,0
122,5185532473,ruff_endz14 (124/150),0,205.75,F Alyssa Thomas F Megan Gustafson F Makayla Timpson G Jackie Young G Kelsey Mitchell UTIL Tyasha Harris,,Grace VanSlooten,UTIL,0.01%,0
122,5185663498,milligolf (58/150),0,205.75,F A'ja Wilson F Angel Reese F Naz Hillmon G Jordin Canada G Sophie Cunningham UTIL Tyasha Harris,,Jordan Harrison,G,0.01%,0
122,5185685868,soonerdallas (42/54),0,205.75,F A'ja Wilson F Alyssa Thomas F Megan Gustafson G Jordin Canada G Tyasha Harris UTIL Sami Whitcomb,,,
122,5185749797,savrome2425 (13/19),0,205.75,F A'ja Wilson F Angel Reese F Bridget Carleton G Jordin Canada G Tyasha Harris UTIL Sami Whitcomb,,,
122,5186073667,doratoki (12/15),0,205.75,F A'ja Wilson F Angel Reese F Bridget Carleton G Jordin Canada G Tyasha Harris UTIL Sami Whitcomb,,,
122,5186074282,marcusaurelius25 (33/150),0,205.75,F A'ja Wilson F Angel Reese F Naz Hillmon G Jordin Canada G Sophie Cunningham UTIL Tyasha Harris,,,
129,5185532495,ruff_endz14 (146/150),0,205.5,F A'ja Wilson F Naz Hillmon F Frieda Buhner G Jackie Young G Rhyne Howard UTIL Tyasha Harris,,,
129,5185770939,shawnmac1989 (4/4),0,205.5,F A'ja Wilson F Angel Reese F Jordan Horston G Kelsey Mitchell G Tyasha Harris UTIL Jewell Loyd,,,
129,5185972728,sirjerkins (117/150),0,205.5,F A'ja Wilson F Aliyah Boston F Stefanie Dolson G Kelsey Mitchell G Tyasha Harris UTIL Valeriane Ayayi,,,
132,5185642359,jusnit (7/50),0,205.25,F A'ja Wilson F Dominique Malonga F Bridget Carleton G Jordin Canada G Raven Johnson UTIL Tyasha Harris,,,
132,5185803739,chrispy2005 (7/20),0,205.25,F Alyssa Thomas F Angel Reese F Serah Williams G Allisha Gray G Tyasha Harris UTIL Kelsey Mitchell,,,
134,5185434235,niquisition (67/71),0,205,F Aliyah Boston F Dominique Malonga F Kierstan Bell G Jackie Young G Jordin Canada UTIL Tyasha Harris,,,
