Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5185532359,ruff_endz14 (10/150),0,221,F A'ja Wilson F Emily Engstler F Frieda Buhner G Jordin Canada G Tyasha Harris UTIL Jackie Young,,Angel Reese,F,43.71%,38.75
1,5185688638,Hey...HereWeGo1 (143/150),0,221,F A'ja Wilson F Emily Engstler F Frieda Buhner G Jackie Young G Tyasha Harris UTIL Jordin Canada,,Alyssa Thomas,F,23.78%,43.5
1,5186013840,llllllllllllllllIll (56/150),0,221,F A'ja Wilson F Dominique Malonga F Emily Engstler G Kelsey Mitchell G Teja Oblak UTIL Tyasha Harris,,A'ja Wilson,F,23.59%,58.5
4,5185434202,niquisition (34/71),0,220.75,F A'ja Wilson F Dominique Malonga F Serah Williams G Kelsey Mitchell G Jordin Canada UTIL Tyasha Harris,,Frieda Buhner,F,21.50%,9.75
4,5185773188,Wanna_Square_Up1567 (56/150),0,220.75,F A'ja Wilson F Dominique Malonga F Serah Williams G Kelsey Mitchell G Jordin Canada UTIL Tyasha Harris,,Aliyah Boston,F,21.45%,37.25
6,5185532417,ruff_endz14 (68/150),0,219.25,F A'ja Wilson F Emily Engstler F Frieda Buhner G Rhyne Howard G Kelsey Mitchell UTIL Tyasha Harris,,Kelsey Mitchell,G,19.69%,53
6,5185610750,smithcj16 (42/80),0,219.25,F A'ja Wilson F Emily Engstler F Frieda Buhner G Rhyne Howard G Kelsey Mitchell UTIL Tyasha Harris,,Rhyne Howard,G,18.93%,39.5
6,5185625507,bellsofwar3 (6/60),0,219.25,F A'ja Wilson F Emily Engstler F Frieda Buhner G Rhyne Howard G Tyasha Harris UTIL Kelsey Mitchell,,Tyasha Harris,G,18.63%,30.75
6,5185972679,sirjerkins (68/150),0,219.25,F A'ja Wilson F Emily Engstler F Frieda Buhner G Rhyne Howard G Tyasha Harris UTIL Kelsey Mitchell,,Allisha Gray,G,16.86%,36.25
6,5185986731,ataribravo (10/150),0,219.25,F A'ja Wilson F Emily Engstler F Frieda Buhner G Rhyne Howard G Kelsey Mitchell UTIL Tyasha Harris,,Dominique Malonga,F,16.74%,31.25
11,5185642395,jusnit (43/50),0,218.75,F A'ja Wilson F Angel Reese F Emily Engstler G Tyasha Harris G Sami Whitcomb UTIL Kelsey Mitchell,,Awa Fam,F,16.58%,16.25
11,5185685834,soonerdallas (8/54),0,218.75,F A'ja Wilson F Angel Reese F Emily Engstler G Tyasha Harris G Sami Whitcomb UTIL Kelsey Mitchell,,Emily Engstler,F,16.29%,27.75
11,5185773265,Wanna_Square_Up1567 (133/150),0,218.75,F A'ja Wilson F NaLyssa Smith F Frieda Buhner G Jordin Canada G Tyasha Harris UTIL Kelsey Mitchell,,NaLyssa Smith,F,15.43%,22.5
11,5185792731,kirkfrancis7 (38/38),0,218.75,F A'ja Wilson F Angel Reese F Emily Engstler G Kelsey Mitchell G Tyasha Harris UTIL Sami Whitcomb,,Valeriane Ayayi,G,15.35%,17
11,5185972705,sirjerkins (94/150),0,218.75,F A'ja Wilson F Angel Reese F Emily Engstler G Tyasha Harris G Sami Whitcomb UTIL Kelsey Mitchell,,Jordin Canada,G,15.22%,44.25
11,5185986732,ataribravo (11/150),0,218.75,F A'ja Wilson F Angel Reese F Emily Engstler G Kelsey Mitchell G Tyasha Harris UTIL Sami Whitcomb,,Bridget Carleton,F,13.49%,23.5
11,5186039141,bellsofwar3 (31/60),0,218.75,F A'ja Wilson F Angel Reese F Emily Engstler G Kelsey Mitchell G Sami Whitcomb UTIL Tyasha Harris,,Tyasha Harris,UTIL,13.28%,30.75
11,5186039142,bellsofwar3 (32/60),0,218.75,F A'ja Wilson F Angel Reese F Emily Engstler G Kelsey Mitchell G Tyasha Harris UTIL Sami Whitcomb,,Megan Gustafson,F,12.13%,18.75
11,5186068578,PokerChump (6/10),0,218.75,F A'ja Wilson F Angel Reese F Emily Engstler G Kelsey Mitchell G Tyasha Harris UTIL Sami Whitcomb,,Monique Billings,F,11.61%,4
20,5185972667,sirjerkins (56/150),0,216.25,F A'ja Wilson F Alyssa Thomas F Madina Okot G Kelsey Mitchell G Raven Johnson UTIL Tyasha Harris,,Valeriane Ayayi,UTIL,11.15%,17
21,5185664663,dbaggot3 (43/52),0,216,F A'ja Wilson F Emily Engstler F Jordan Horston G Jackie Young G Allisha Gray UTIL Tyasha Harris,,Jackie Young,G,11.08%,50
21,5185749372,jwclark311 (88/150),0,216,F A'ja Wilson F Emily Engstler F Jordan Horston G Jackie Young G Allisha Gray UTIL Tyasha Harris,,Chelsea Gray,G,10.45%,25.25
23,5185986779,ataribravo (58/150),0,214.75,F A'ja Wilson F Alyssa Thomas F Emily Engstler G Jordin Canada G Sami Whitcomb UTIL Tyasha Harris,,Naz Hillmon,F,10.26%,17
24,5185532486,ruff_endz14 (137/150),0,214.5,F A'ja Wilson F Emily Engstler F Makayla Timpson G Jordin Canada G Tyasha Harris UTIL Alyssa Thomas,,Carla Leite,G,9.73%,21.75
24,5185600715,Ocin_D_Clown (53/150),0,214.5,F A'ja Wilson F NaLyssa Smith F Stephanie Talbot G Kelsey Mitchell G Jordin Canada UTIL Tyasha Harris,,DeWanna Bonner,G,9.13%,22.75
24,5185663474,milligolf (34/150),0,214.5,F A'ja Wilson F Emily Engstler F Naz Hillmon G Jordin Canada G Allisha Gray UTIL Tyasha Harris,,Kahleah Copper,G,8.51%,34.25
24,5186074279,marcusaurelius25 (30/150),0,214.5,F A'ja Wilson F Emily Engstler F Naz Hillmon G Jordin Canada G Allisha Gray UTIL Tyasha Harris,,Jewell Loyd,G,8.07%,11.75
28,5186036655,Mathis (145/150),0,213.75,F A'ja Wilson F Dominique Malonga F Jordan Horston G Jordin Canada G Allisha Gray UTIL Tyasha Harris,,Flau'Jae Johnson,G,7.04%,28.5
28,5186039878,mcrauswell (2/4),0,213.75,F A'ja Wilson F Dominique Malonga F Jordan Horston G Jordin Canada G Allisha Gray UTIL Tyasha Harris,,Jordan Horston,F,6.79%,12.75
30,5185532418,ruff_endz14 (69/150),0,213.5,F A'ja Wilson F Emily Engstler F Jordan Horston G Rhyne Howard G Jordin Canada UTIL Tyasha Harris,,Myisha Hines-Allen,F,6.72%,2.25
31,5185434206,niquisition (38/71),0,212.75,F A'ja Wilson F Emily Engstler F Kierstan Bell G Jackie Young G Kahleah Copper UTIL Tyasha Harris,,Lexie Hull,G,6.39%,11
31,5185664638,dbaggot3 (18/52),0,212.75,F A'ja Wilson F Angel Reese F Jordan Horston G Jordin Canada G Tyasha Harris UTIL Emily Engstler,,Noemie Brochant,F,5.97%,2.75
31,5185773206,Wanna_Square_Up1567 (74/150),0,212.75,F Angel Reese F Emily Engstler F Jordan Horston G Jordin Canada G Tyasha Harris UTIL A'ja Wilson,,Jewell Loyd,UTIL,5.92%,11.75
31,5185823634,maine1972 (5/5),0,212.75,F Angel Reese F Emily Engstler F Jordan Horston G Jordin Canada G Tyasha Harris UTIL A'ja Wilson,,Makayla Timpson,F,5.56%,9.75
35,5185532464,ruff_endz14 (115/150),0,212.5,F A'ja Wilson F Alyssa Thomas F Makayla Timpson G Kelsey Mitchell G Valeriane Ayayi UTIL Tyasha Harris,,Raven Johnson,G,5.29%,17
35,5185600667,Ocin_D_Clown (5/150),0,212.5,F A'ja Wilson F Alyssa Thomas F Makayla Timpson G Kelsey Mitchell G Valeriane Ayayi UTIL Tyasha Harris,,Serah Williams,F,4.96%,3
